Time,Itr,train-AverageReturn,train-MinReturn,LossAfter,train-MaxReturn,ItrTime,train-StdReturn,LossBefore,train-AverageDiscountedReturn,n_timesteps,train-PolicyExecTime,Time-Optimization,Time-SampleProc,train-NumTrajs,Time-Sampling,train-EnvExecTime
756.059739112854,39,215.04952653307984,210.4957048284458,-0.022643665,220.270756343091,19.90486454963684,1.8460736384242569,3.0517577e-09,123.81488302496798,400000,15.846467971801758,0.30100560188293457,0.0239717960357666,100,19.57988715171814,3.4598593711853027
774.4707245826721,40,215.84863231397736,209.70845810683772,-0.030809863,222.35335574327596,18.397992372512817,2.690843153239473,-6.1035155e-09,124.389156087044,410000,14.738753318786621,0.25699734687805176,0.019001245498657227,100,18.1209933757782,3.1215767860412598
793.1217179298401,41,219.18357127603767,210.66775048197073,-0.017473774,228.5874355328277,18.635993242263794,3.073005500949458,-6.1035155e-09,125.92324287792675,420000,14.893434047698975,0.26999902725219727,0.034957170486450195,100,18.32999324798584,3.1631851196289062
811.7527098655701,42,223.925969357284,210.5513704121732,-0.015299455,231.6996780365252,18.617992639541626,3.4171001474667033,-0.00768305,128.15712473997863,430000,14.88739013671875,0.2649993896484375,0.020974159240722656,100,18.330018758773804,3.1772401332855225
829.780702829361,43,221.8467875784811,208.25494658868877,-0.007184729,227.2677629001481,18.014991521835327,3.762245211326356,0.00070305174,127.24458810485795,440000,14.501126289367676,0.27499842643737793,0.025996685028076172,100,17.711997747421265,2.932903528213501
847.5206437110901,44,220.4694041117944,207.9434762824407,-0.012026038,226.85804677449414,17.725940465927124,3.302552929029288,1.2207031e-08,126.58419332862351,450000,14.286838293075562,0.25499963760375977,0.0189974308013916,100,17.451943397521973,2.917545795440674
865.379894733429,45,217.86997503555358,205.24276554812747,-0.005409314,225.90417744011788,17.845197200775146,4.153241615765449,1.525879e-08,125.47323136518291,460000,14.370550394058228,0.2559981346130371,0.01796889305114746,100,17.571230173110962,2.9309589862823486
884.6431963443756,46,217.89002091352563,204.8474584732791,-0.09179995,225.09139227115216,19.2503023147583,4.756216478484891,-1.8310548e-08,125.46592566422544,470000,15.28275752067566,0.2870001792907715,0.026973247528076172,100,18.935272455215454,3.342057943344116
903.0048432350159,47,220.31068885632433,202.46338209725744,-0.06795581,228.34611233003176,18.34864354133606,5.04447637728216,1.5258789e-09,126.53315755746789,480000,14.697673320770264,0.2890009880065918,0.03399848937988281,100,18.02464509010315,3.059798002243042
921.5384380817413,48,222.53758182541267,207.96632542432513,-0.041999023,231.1909503172047,18.52059555053711,4.884139353792978,0.007116626,127.5313950925232,490000,14.858363389968872,0.2579987049102783,0.01997065544128418,100,18.242626190185547,3.113443374633789
939.2815749645233,49,215.36790155442748,208.08289503667748,-0.05161165,222.153036518855,17.730135440826416,2.904361678192423,2.2888185e-09,124.3371672052707,500000,14.14252781867981,0.25600218772888184,0.016999006271362305,100,17.45517086982727,3.0004353523254395
957.0903427600861,50,215.4774692945438,209.5027020639733,0.006452545,221.78747939102774,17.795769929885864,2.876165920541,1.8310548e-08,124.16773783448878,510000,14.342090129852295,0.2559030055999756,0.020065784454345703,100,17.517777919769287,2.919598340988159
974.8100256919861,51,213.1532977457912,204.55042806300054,-0.021305664,223.12481782233462,17.70568299293518,3.885956620063756,8.010864e-09,123.20697898069646,520000,14.2063627243042,0.2559993267059326,0.024998188018798828,100,17.424624919891357,2.9465696811676025
992.5716361999512,52,215.35865646061058,203.63128361774434,-0.10115035,226.64991276510986,17.748610258102417,4.577880041297841,6.1035155e-09,124.25526761724645,530000,14.234048128128052,0.25499987602233887,0.023998737335205078,100,17.467617511749268,2.9657580852508545
1010.1531646251678,53,218.9385808270024,162.65996237070797,-0.1187813,227.13560887965372,17.567528247833252,10.982238050249228,-7.6293943e-10,125.80809818959105,540000,14.05617880821228,0.25300073623657227,0.01899862289428711,100,17.295528888702393,2.9895803928375244
1027.9225313663483,54,215.10421062186808,155.1911043513533,-0.07335159,226.82724170556912,17.756367921829224,10.232673240803406,9.155274e-09,124.17182143710133,550000,14.242267847061157,0.2599680423736572,0.02299952507019043,100,17.473400354385376,2.9706625938415527
1046.0686769485474,55,225.63712811033488,216.99480580564472,-0.02873392,230.586920981248,18.133145093917847,2.408314978366372,-9.155274e-09,128.41413808551468,560000,14.547817707061768,0.26551055908203125,0.01850605010986328,100,17.84812879562378,3.0380752086639404
1064.3227434158325,56,223.6682825666929,208.3622630740449,-0.032615922,232.90271866150212,18.241066694259644,5.572229512447039,9.155274e-09,126.84646695304913,570000,14.60974383354187,0.26851892471313477,0.02199697494506836,100,17.949549913406372,3.065415382385254
1082.4356911182404,57,222.30836209650425,198.89202047950857,-0.14973015,231.14863050234342,18.099945783615112,5.8771806457923,-2.1743775e-08,125.2298787534098,580000,14.413981437683105,0.2900047302246094,0.01999521255493164,100,17.7889461517334,3.1178464889526367
