train-AverageDiscountedReturn,train-MinReturn,Itr,LossBefore,n_timesteps,train-EnvExecTime,ItrTime,train-PolicyExecTime,train-NumTrajs,Time-SampleProc,LossAfter,train-StdReturn,train-MaxReturn,Time-Sampling,train-AverageReturn,Time-Optimization,Time
23.143490965008723,25.69299532146989,21,-1.25270135e-05,220000,2.5759146213531494,17.105976581573486,14.006756067276001,100,0.016973257064819336,-0.0034801252,1.4768622125995121,32.49275899287879,16.836002349853516,29.16036081798879,0.25099992752075195,370.63646721839905
23.14569670658133,25.571492069186217,22,-1.2414493e-05,230000,2.5813496112823486,16.988975286483765,13.887044906616211,100,0.015970468521118164,-0.0036362917,1.2765473756270829,32.8076813137388,16.73400902748108,29.197005979994202,0.23799610137939453,387.6384427547455
23.40608801245451,26.60172394566984,23,-1.2303453e-05,240000,2.5967864990234375,17.13097620010376,14.016828536987305,100,0.01596546173095703,-0.0026098832,1.1519331439008738,32.55838598090971,16.8700110912323,29.451958645176934,0.24499964714050293,404.7824196815491
23.465315987852232,26.386344026836632,24,-1.2201681e-05,250000,2.5517990589141846,16.429977416992188,13.368716716766357,100,0.024957895278930664,-0.0030112579,1.2941728690266119,32.3832492068129,16.157020092010498,29.498648174641815,0.2479994297027588,421.2253966331482
23.617630310349167,26.590617286130666,25,-1.2069489e-05,260000,2.56353497505188,16.82897663116455,13.731107234954834,100,0.02299666404724121,-0.0022069155,1.2689102046028895,31.83227704118981,16.56097960472107,29.66172870233476,0.24500036239624023,438.0673723220825
23.731776770219625,26.985592526100405,26,-1.196284e-05,270000,2.544879674911499,16.780975818634033,13.709698915481567,100,0.023998260498046875,-0.0009888771,1.321785555635476,32.76962747463882,16.514978170394897,29.81330433763967,0.24199938774108887,454.8613488674164
23.75039620380172,26.65288899944306,27,-1.1871745e-05,280000,2.5517845153808594,16.665977239608765,13.553945779800415,100,0.015981674194335938,-0.002960456,1.3385854713280212,33.49239025374423,16.411977767944336,29.87827874067381,0.2370011806488037,471.54032707214355
23.76298875791209,25.519461314437365,28,-1.1780505e-05,290000,2.5336902141571045,17.104978322982788,14.046084642410278,100,0.015968799591064453,-0.0051863706,1.2928207146060335,32.704836576258884,16.84300708770752,29.947071951078172,0.24500298500061035,488.6573052406311
23.763471780145323,26.824426532596796,29,-1.16657875e-05,300000,2.5184738636016846,16.726978063583374,13.695600509643555,100,0.025986194610595703,-0.0034544452,1.3165124922699085,33.002399076627576,16.456990242004395,29.92890760203193,0.24300098419189453,505.39727997779846
24.00267090404815,26.240807343170733,30,-1.1577935e-05,310000,2.517516613006592,16.653976440429688,13.616574764251709,100,0.02096867561340332,-0.0014768698,1.3834110447984975,33.46991773767004,16.396008014678955,30.166694660746185,0.23600029945373535,522.0642554759979
24.07869924042119,27.58396605660308,31,-1.1452338e-05,320000,2.4968841075897217,16.595977306365967,13.59391164779663,100,0.0169522762298584,-0.0046314513,1.3049788752210696,33.46740611688828,16.338024377822876,30.33798311389705,0.24100065231323242,538.6722331047058
24.184409376654656,27.56879081071412,32,-1.1347551e-05,330000,2.5492632389068604,16.70697855949402,13.63181447982788,100,0.0169985294342041,-0.0046458887,1.392652823312346,33.20436052740355,16.44397783279419,30.504929680955584,0.24500107765197754,555.3912098407745
24.374280261797676,27.400228012023383,33,-1.1270239e-05,340000,2.6275546550750732,17.287975072860718,14.10032844543457,100,0.022993803024291992,-0.0040520835,1.4838778514331517,33.71138125197327,17.012983083724976,30.777621953652567,0.25099921226501465,572.6941840648651
