n_timesteps,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,LossAfter,ItrTime,Time-Sampling,train-EnvExecTime,Itr,Time-SampleProc,train-MinReturn,Time,train-MaxReturn,LossBefore,Time-Optimization,train-NumTrajs,train-PolicyExecTime
200000,119.6577978221846,202.25698491168504,1.3539408438896248,-0.0037473687,20.681991815567017,20.400997400283813,3.473133087158203,19,0.01999497413635254,198.49510448213402,371.26539850234985,205.58879331162663,-1.2811975e-05,0.25999999046325684,100,16.59984803199768
210000,119.63793788955967,201.94953907054153,2.1472710866756968,-0.005231483,20.868370532989502,20.56238102912903,3.57338547706604,20,0.029990196228027344,190.82658504300593,392.1477689743042,206.99862761590623,-1.2644177e-05,0.2759993076324463,100,16.63781213760376
220000,120.14867300149244,203.22527889449316,1.3071974867056728,-0.0036524353,20.325995922088623,20.02999496459961,3.39060378074646,21,0.019997358322143555,197.74415483479945,412.4867639541626,206.41553992305433,-1.2467452e-05,0.2760035991668701,100,16.33831810951233
230000,119.98871926264032,202.95098777965862,1.622591576713907,-0.004356811,19.526992082595825,19.238022804260254,3.3304004669189453,22,0.021969318389892578,193.5226230702767,432.0297529697418,206.4462999588839,-1.2292572e-05,0.2669999599456787,100,15.620356321334839
240000,120.1542267958315,203.31342860958904,1.433484024299564,-0.0046324874,21.888991117477417,21.603991270065308,3.741446018218994,23,0.027001380920410156,197.11441825698677,453.93274331092834,206.55954979505768,-1.2099745e-05,0.2579984664916992,100,17.526352882385254
250000,120.2575848375136,203.42205311023503,1.6691074132278074,-0.00403514,18.721992254257202,18.45302414894104,3.196956157684326,24,0.018969058990478516,196.01565194655507,472.66873574256897,208.02137108572373,-1.1894117e-05,0.2499990463256836,100,14.986852169036865
260000,120.43765200495713,203.8419361026731,1.2434205843932042,-0.0036890632,17.802993059158325,17.53003191947937,3.0593879222869873,25,0.024962186813354492,200.4867392488388,490.4847285747528,206.72174665889582,-1.1711892e-05,0.24599933624267578,100,14.222555160522461
270000,120.67602001493957,204.3365426488018,1.5417740142299112,-0.00528599,17.64199137687683,17.340997219085693,2.8887505531311035,26,0.025995254516601562,199.4112627860863,508.1397204399109,209.34516445940974,-1.1563826e-05,0.2739992141723633,100,14.157488584518433
280000,120.94115445550439,204.90250831273028,1.5267965154598482,-0.004618982,18.23099136352539,17.960994243621826,3.07539701461792,27,0.0189969539642334,200.98041048768343,526.3837146759033,209.0020856729847,-1.140974e-05,0.2500011920928955,100,14.551456212997437
290000,121.05548406319201,205.18577754574835,1.8361689589611896,-0.0040592183,17.621992111206055,17.358018398284912,2.972487449645996,28,0.017976999282836914,201.14855334771426,544.0187072753906,211.14795808703116,-1.125492e-05,0.2449967861175537,100,14.131035327911377
300000,121.28359048497416,205.66461146684495,2.2484322638375698,-0.005392736,17.6619930267334,17.384995937347412,2.946204662322998,29,0.025000572204589844,196.96456631872493,561.6937003135681,211.1594078691812,-1.1095077e-05,0.2519965171813965,100,14.173068046569824
310000,121.39070754104763,206.18166054609014,2.4386892236027378,-0.0055174064,17.60727572441101,17.339298009872437,3.0258564949035645,30,0.022977113723754883,201.8382512405884,579.3139770030975,213.90332107821865,-1.0944757e-05,0.24500060081481934,100,14.05448865890503
320000,121.75115134657588,207.0994686232133,2.7721301425064158,-0.0034978585,17.78799343109131,17.520995140075684,3.0111677646636963,31,0.017999649047851562,200.64611339045376,597.1149680614471,215.43548628275406,-1.0797907e-05,0.24799871444702148,100,14.242877006530762
330000,122.13563838233951,207.92826335012788,2.961284468689811,-0.0024521747,17.755994081497192,17.488996028900146,2.9938337802886963,32,0.018998146057128906,200.5450450989982,614.8839626312256,217.03052551491191,-1.0669824e-05,0.247999906539917,100,14.205810070037842
340000,122.34437174326499,208.40717344843685,3.0551422508013704,-0.0029629762,17.726991891860962,17.450992345809937,2.968520402908325,33,0.026000499725341797,201.19427691938276,632.6239535808563,220.37691575483433,-1.0564099e-05,0.2499990463256836,100,14.22438907623291
350000,122.76138638988446,209.225703389955,2.5783775301772778,-0.0023822843,17.760993003845215,17.489994525909424,3.039268970489502,34,0.02699732780456543,200.70278019050184,650.3979465961456,216.5647085632574,-1.0466804e-05,0.24400115013122559,100,14.204195022583008
360000,122.69419650591855,209.1278695061871,2.701379701768185,-0.0038480877,17.608994007110596,17.333993673324585,2.9955241680145264,35,0.021999835968017578,202.48438947660347,668.0199403762817,216.02038940612772,-1.0396108e-05,0.2499985694885254,100,14.073184251785278
370000,123.19742028200407,210.35500084690463,3.858687281267299,-0.0035977357,17.702990531921387,17.429994583129883,2.93298077583313,36,0.022996187210083008,200.80268255284508,685.735931634903,231.37314007793225,-1.0288625e-05,0.2499997615814209,100,14.204365491867065
380000,123.29463530517405,210.6925911791478,3.860976015859692,-0.0018043104,17.71099352836609,17.44702434539795,2.9680263996124268,37,0.01897144317626953,198.949402279001,703.4599254131317,230.41722555429703,-1.0213551e-05,0.24499773979187012,100,14.234224319458008
390000,122.26742056219778,208.6087551316451,12.56226060448208,-0.006061745,17.599992990493774,17.331995964050293,2.9596731662750244,38,0.021998882293701172,99.46039275595179,721.072918176651,219.84128953582146,-1.0140022e-05,0.24599814414978027,100,14.061962127685547
400000,123.50643957373585,211.3192324262918,3.9212122330111363,-0.0024322793,17.801992893218994,17.5259952545166,2.9793503284454346,39,0.019997119903564453,197.4701000328441,738.8879103660583,222.37134257657968,-1.006639e-05,0.2560005187988281,100,14.294771909713745
410000,124.31396807897316,213.01207743448487,3.5996035786318075,-0.0042454256,17.81599235534668,17.535996437072754,2.972654342651367,40,0.021997928619384766,202.86879641838863,756.7169053554535,224.73863968645662,-9.949729e-06,0.2569997310638428,100,14.302381753921509
420000,124.54554234576861,213.86604889326205,4.337979599323371,-0.005760735,18.327995538711548,18.052018642425537,3.0844998359680176,41,0.02297806739807129,204.35812602744045,775.0578982830048,223.07109470227496,-9.8725795e-06,0.2519974708557129,100,14.685049057006836
