n_timesteps,train-AverageReturn,Time-SampleProc,train-StdReturn,train-EnvExecTime,train-PolicyExecTime,Time-Sampling,Time,train-NumTrajs,train-AverageDiscountedReturn,train-MinReturn,Itr,train-MaxReturn,LossBefore,ItrTime,LossAfter,Time-Optimization
950000,65.06421127788798,0.03399991989135742,36.17645719001618,3.3887741565704346,16.870157480239868,20.619995832443237,1846.1656351089478,100,36.89886003586432,-7.882809035806715,94,181.1269906078232,-3.7447583e-06,21.054000854492188,-0.0129344165,0.39900732040405273
960000,59.048112229203255,0.03200030326843262,36.63071596213178,3.451704978942871,17.2173490524292,21.055994033813477,1867.6076250076294,100,33.09796339078809,-37.634872829576565,95,172.62043919622636,-3.5566914e-06,21.417997360229492,-0.01207787,0.32900238037109375
970000,57.626094433712545,0.030003786087036133,30.55789990403535,3.6430623531341553,18.015782594680786,22.068993091583252,1890.0666191577911,100,32.34390198387984,-13.567894489143825,96,172.39550997451235,-3.400955e-06,22.442994117736816,-0.011186587,0.3419992923736572
980000,64.35052225330298,0.03200125694274902,32.930499863894255,3.4790115356445312,17.044915914535522,20.888993740081787,1911.3246166706085,100,36.86568745619997,-18.009685763971007,97,132.60064837603818,-3.3340261e-06,21.2399959564209,-0.012504894,0.3190009593963623
990000,62.14382380764472,0.031999826431274414,34.43386028733669,3.790248394012451,18.81867027282715,23.03005862236023,1934.770672082901,100,35.10913913034444,-59.1262698443919,98,132.45907502429932,-3.2518756e-06,23.428059101104736,-0.01314377,0.36499857902526855
1000000,60.833967303912196,0.036002159118652344,35.05813531317005,3.623805284500122,18.18826198577881,22.190991401672363,1957.3916747570038,100,33.918210473304335,-60.411866856054345,99,131.69478218538472,-3.1989525e-06,22.602998733520508,-0.011172536,0.3760051727294922
1010000,69.8492317487628,0.039000511169433594,37.41423925099153,3.684394359588623,18.287509441375732,22.372994899749756,1980.203664779663,100,38.474436918681846,-14.27946209294356,100,230.9333225948309,-3.0389285e-06,22.791996240615845,-0.011922081,0.3800008296966553
1020000,64.28166005526973,0.035003662109375,37.079994005426,3.63016414642334,17.936928749084473,21.97999668121338,2002.6026606559753,100,36.063819596194286,-51.55082706708681,101,142.31050966976713,-2.9141283e-06,22.379996299743652,-0.015438788,0.3639967441558838
1030000,64.23600542831906,0.08500075340270996,31.77746773319049,3.629181146621704,17.932987213134766,21.95099401473999,2025.0536570549011,100,35.8320717773446,-25.993536448955282,102,164.31810072012078,-2.792047e-06,22.433995008468628,-0.014771699,0.397000789642334
1040000,72.91606267263393,0.03499865531921387,31.89923706513962,3.6936209201812744,18.33825659751892,22.519999504089355,2048.154663324356,100,41.01922421479346,8.156448798971514,103,161.10870465016666,-2.6257335e-06,23.07900881767273,-0.012539308,0.5230133533477783
1050000,72.4847974936766,0.02999711036682129,42.343212284504595,3.8002192974090576,19.714803218841553,23.948994636535645,2072.652647256851,100,41.16265826063939,-77.84109431448427,104,155.97078980794151,-2.4786068e-06,24.46699547767639,-0.010901475,0.48700404167175293
1060000,70.20036910952172,0.03400087356567383,33.706028803990876,3.1685683727264404,15.848573923110962,19.33099365234375,2092.37864279747,100,39.9167299406228,-31.505450304785224,105,151.66275661651375,-2.3641694e-06,19.693992614746094,-0.014639319,0.3240010738372803
1070000,79.39493186407998,0.047998666763305664,35.38920947980284,3.4220163822174072,17.01793622970581,20.799004554748535,2113.78165268898,100,45.50386460365221,-9.769864201498242,106,161.88208848782267,-2.234621e-06,21.38201117515564,-0.014162896,0.5350079536437988
1080000,74.95917294086237,0.03099846839904785,34.432441806805734,3.6763997077941895,18.76830530166626,22.843844175338745,2137.2724826335907,100,41.7752181683089,-19.357801163149517,107,161.90643421093674,-2.0857633e-06,23.467845916748047,-0.017606148,0.5930032730102539
1090000,75.29598022498222,0.05299830436706543,31.98067806940349,3.334325075149536,16.929389238357544,20.605995178222656,2158.3234837055206,100,41.86008151919034,-33.69403886435502,108,137.31166445393936,-1.9070553e-06,21.032001972198486,-0.013688815,0.3700070381164551
