Time,n_timesteps,train-PolicyExecTime,train-NumTrajs,ItrTime,Time-Optimization,Time-SampleProc,Time-Sampling,train-MaxReturn,train-AverageDiscountedReturn,LossBefore,train-EnvExecTime,train-MinReturn,LossAfter,train-StdReturn,Itr,train-AverageReturn
3184.8124866485596,1870000,14.231452226638794,100,17.433518648147583,0.2609989643096924,0.02300119400024414,17.149518489837646,161.92297486923718,60.11314610946881,9.224921e-06,2.692019462585449,-15.4962768957938,-0.016024774,39.72461263749595,186,104.02109087837223
3201.711600780487,1880000,13.730149984359741,100,16.886112928390503,0.26196932792663574,0.03003072738647461,16.593112468719482,174.2665025948425,57.495240032306704,9.331127e-06,2.6171436309814453,-38.081747448550395,-0.013791866,40.41772015454258,187,98.62896206237558
3218.636917591095,1890000,13.84509539604187,100,16.911317348480225,0.2629964351654053,0.020970821380615234,16.626360654830933,179.11038006630525,63.372272784431296,9.381169e-06,2.534782886505127,-11.523392264549535,-0.018498251,35.723094678267955,188,109.25785755446657
3235.6567645072937,1900000,13.94777536392212,100,17.00684690475464,0.26800060272216797,0.028998136520385742,16.709848165512085,201.6069217847217,58.146369532110505,9.466649e-06,2.516310453414917,-16.293407087220448,-0.01343571,35.63958517273569,189,100.51700391999393
3252.870888710022,1910000,13.989845991134644,100,17.20112419128418,0.26599931716918945,0.030964374542236328,16.903159141540527,189.2665394179387,57.39514487354759,9.618579e-06,2.65004301071167,-5.9670899021687465,-0.013590992,41.219761333132816,190,100.07837368927763
3269.788594007492,1920000,13.753602504730225,100,16.904706239700317,0.26400113105773926,0.029027462005615234,16.609708070755005,166.37803783307015,57.318610828966904,9.771253e-06,2.49527645111084,-7.615439279469818,-0.015691495,38.25834206705497,191,99.97661425928735
3286.8915820121765,1930000,14.004928588867188,100,17.088987588882446,0.2610015869140625,0.021967172622680664,16.8040189743042,196.10623936713392,60.912580973018336,9.954799e-06,2.532254219055176,-50.85630838229143,-0.016081184,41.24104073594445,192,103.27421864954685
3303.9224700927734,1940000,13.92526912689209,100,17.017888069152832,0.259000301361084,0.02796316146850586,16.727888345718384,162.15277444072532,56.659322434247514,1.0102365e-05,2.5540270805358887,-34.961774171748274,-0.015733443,34.011954127897305,193,96.93641847015144
3320.7484583854675,1950000,13.841505527496338,100,16.812988996505737,0.2619962692260742,0.02996349334716797,16.521029233932495,176.69302791089856,55.81426922363984,1.0169564e-05,2.4254603385925293,-21.13291663738238,-0.019500032,41.27156651772445,194,95.40830815568829
3337.6791944503784,1960000,13.847435474395752,100,16.916736841201782,0.2649991512298584,0.027974367141723633,16.62276339530945,174.2713580513248,57.79258844213005,1.02494705e-05,2.5138676166534424,-15.33985688875526,-0.019450199,33.95774492332639,195,99.44607548750551
3354.574637889862,1970000,13.859084367752075,100,16.881442308425903,0.2609994411468506,0.027968645095825195,16.591474056243896,167.70336475601817,60.13840161863465,1.0248767e-05,2.4619648456573486,-11.84508482184543,-0.019870307,35.72325454294725,196,103.3179875574114
3371.68497633934,1980000,13.982094287872314,100,17.095339059829712,0.2690005302429199,0.02599787712097168,16.79934072494507,187.75936220986316,63.15797830295956,1.031875e-05,2.5344181060791016,-8.227709400657426,-0.020601206,37.03399180805139,197,109.1163316920237
3388.568964958191,1990000,13.723419189453125,100,16.87098789215088,0.27899837493896484,0.03000187873840332,16.56098747253418,165.3413022993482,57.57117573582776,1.0415057e-05,2.5777580738067627,8.713746364678386,-0.018475497,33.05605922698836,198,99.77593546653932
3405.5575063228607,2000000,13.917484045028687,100,16.975541830062866,0.26196813583374023,0.027997970581054688,16.68557572364807,166.17352594105694,63.42692423288604,1.05215e-05,2.4968254566192627,-15.407715420200008,-0.017361889,32.74444998485373,199,108.54898717682501
3422.4682064056396,2010000,13.801086187362671,100,16.897698163986206,0.2619972229003906,0.030002593994140625,16.605698347091675,189.67589354672435,58.10315690729678,1.0676118e-05,2.539551258087158,-44.07530521859391,-0.020415349,41.61070504733258,200,100.36920991277165
3439.745193719864,2020000,14.150753736495972,100,17.26398801803589,0.2630009651184082,0.03196597099304199,16.96902108192444,188.96865192579182,65.09586716243395,1.081247e-05,2.521780490875244,12.948442599147015,-0.018138945,32.01039352337267,201,112.20139079570008
3457.1160752773285,2030000,14.09656548500061,100,17.357881784439087,0.3599979877471924,0.04899930953979492,16.94788408279419,191.6127777754595,60.90893566799001,1.096552e-05,2.573289155960083,20.57392111870487,-0.018949198,33.56639475632461,202,103.54483150914717
3474.1390631198883,2040000,13.938200235366821,100,17.009987354278564,0.27199673652648926,0.027001380920410156,16.710989236831665,170.01735525265278,59.80959213329184,1.114373e-05,2.488670587539673,0.17697164010459288,-0.019644566,36.39540605993761,203,103.60831082379556
3491.216511487961,2050000,13.958678245544434,100,17.064448356628418,0.25999999046325684,0.022999048233032227,16.780449151992798,185.89971790161826,62.443374929715375,1.1215914e-05,2.567206382751465,-17.83230142861793,-0.013779849,40.558194668442624,204,107.1606111253239
3508.1505012512207,2060000,13.803967714309692,100,16.920990228652954,0.26000070571899414,0.029971837997436523,16.63002061843872,167.75155806484142,61.45366858471094,1.1285737e-05,2.5661468505859375,1.9451882217158183,-0.020736286,37.36946760589013,205,105.37239140803239
