train-MinReturn,n_timesteps,train-PolicyExecTime,train-AverageReturn,ItrTime,train-StdReturn,train-EnvExecTime,Time-Optimization,Time,train-NumTrajs,train-MaxReturn,LossAfter,Time-SampleProc,Itr,LossBefore,Time-Sampling,train-AverageDiscountedReturn
28.44456348853177,1300000,13.286113739013672,95.5587239818974,16.407991647720337,30.40113507370855,2.568819761276245,0.28300023078918457,2178.2420542240143,100,167.01427041651687,-0.0105415555,0.020998001098632812,129,-2.155304e-08,16.10399341583252,55.3719931602676
-44.357588183634334,1310000,13.567128419876099,90.25105543938986,16.643994331359863,32.2131551053915,2.5328197479248047,0.25600242614746094,2194.8990485668182,100,153.41874371108065,-0.009280284,0.02799677848815918,130,6.1035155e-09,16.35899519920349,52.215151347339706
21.613486026762835,1320000,13.303182363510132,94.34141000683435,16.46099019050598,29.366680970546184,2.617750406265259,0.28099918365478516,2211.3740372657776,100,150.76903256364088,-0.010493353,0.024998903274536133,131,2.1362304e-08,16.154024362564087,54.23496165411948
10.133552963987078,1330000,13.61887788772583,92.38353684125494,16.653990268707275,28.261684098122316,2.466507911682129,0.26599836349487305,2228.0410289764404,100,172.9088027561773,-0.01340097,0.024999141693115234,132,-1.525879e-08,16.362992763519287,53.45585343769481
-16.701003789748405,1340000,13.663818359375,97.10094510015858,16.787992477416992,29.368096582925947,2.5830795764923096,0.259000301361084,2244.842021226883,100,162.7737135220337,-0.016759345,0.027996540069580078,133,-1.2207031e-08,16.49999499320984,56.24713754475887
10.539943212399123,1350000,13.746073007583618,101.27969120402277,16.84399151802063,30.85797766075616,2.529804229736328,0.2739989757537842,2261.7000126838684,100,177.07430425793547,-0.014402605,0.03099846839904785,134,-9.155274e-09,16.538994073867798,59.10437404083204
25.896208599716967,1360000,13.843325853347778,96.05272715854822,16.904993534088135,29.408916408998028,2.499821662902832,0.26199936866760254,2278.618005514145,100,178.9493272611042,-0.014224628,0.023999691009521484,135,0.0030274703,16.61799383163452,54.69836522689886
39.85528758863323,1370000,13.599647045135498,100.86849362685754,16.740989923477173,27.599317353097263,2.52231764793396,0.26999592781066895,2295.3729956150055,100,163.15953575433878,-0.0111131575,0.022002458572387695,136,-7.629395e-09,16.44801664352417,58.36482983755813
25.534881865970615,1380000,13.73104739189148,101.48741844682414,16.791992664337158,27.718461400136096,2.519279718399048,0.2579996585845947,2312.177988052368,100,163.92396923419432,-0.012002384,0.024974584579467773,137,1.7166137e-09,16.508018732070923,58.31066785879012
30.292610953548632,1390000,13.60912537574768,102.0348083989941,16.652992248535156,27.669013034732323,2.487792730331421,0.26196885108947754,2328.8449790477753,100,160.4033840874041,-0.009605883,0.029029130935668945,138,7.629395e-09,16.361024618148804,59.03968366344472
18.142497587547503,1400000,13.68560528755188,104.49574285387408,16.730990648269653,32.633818329284026,2.482450008392334,0.2599971294403076,2345.5889706611633,100,170.93979235253155,-0.014440656,0.028970718383789062,139,3.6621095e-08,16.442022800445557,60.63871257566816
25.20633488728356,1410000,13.584769248962402,100.85568770587102,16.666991233825684,29.3263140187907,2.528200626373291,0.2649974822998047,2362.2699620723724,100,169.4436749520514,-0.014329465,0.022999048233032227,140,9.155274e-09,16.3779935836792,58.14987675476907
18.94267369523343,1420000,13.624614000320435,103.71338133983718,16.62999153137207,32.276529500385685,2.4471819400787354,0.2559964656829834,2378.9139540195465,100,178.9631883527902,-0.013432474,0.024977445602416992,141,9.155274e-09,16.34901762008667,59.95967812432531
-4.933168617857963,1430000,13.842640161514282,106.71996472396994,16.931991815567017,29.515071078291676,2.521136999130249,0.26599836349487305,2395.8599467277527,100,170.51991995909802,-0.012069833,0.028001070022583008,142,1.525879e-08,16.63702392578125,61.59241775118799
35.83002902063243,1440000,13.60069489479065,108.1697131254875,16.656992435455322,30.508573941078435,2.5261566638946533,0.2610001564025879,2412.530938386917,100,168.61810811659095,-0.0148163205,0.02299785614013672,143,-1.2207031e-08,16.372994422912598,61.94144253647944
-0.5921258362231357,1450000,13.639947891235352,109.54278543887526,16.605990171432495,32.337659268808125,2.422717332839966,0.2559993267059326,2429.1499288082123,100,182.45154332407435,-0.014288263,0.025982379913330078,144,-6.1035155e-09,16.324008464813232,63.72796390383181
20.644305177354834,1460000,13.352237939834595,112.5981712488237,16.42499041557312,30.533692607218594,2.538907766342163,0.26399731636047363,2445.588920354843,100,181.91565778298886,-0.00779899,0.024999380111694336,145,-1.0490417e-08,16.135993719100952,64.94857963377817
26.01103917127587,1470000,13.546669006347656,109.66137380641995,16.563992023468018,34.46442711168935,2.460530996322632,0.25799560546875,2462.165911912918,100,214.880483577048,-0.010944834,0.028002500534057617,146,-3.1280518e-08,16.27799391746521,62.83004562619934
20.411177086072517,1480000,13.66774582862854,112.79637259103642,16.730990409851074,30.42125611461078,2.4574179649353027,0.26199889183044434,2478.9109036922455,100,169.9931133108693,-0.011369144,0.02997446060180664,147,-1.2207031e-08,16.439017057418823,64.76433086178092
3.223927852541844,1490000,13.641878366470337,109.5134940303511,16.70699191093445,34.63015242015133,2.4935288429260254,0.2649984359741211,2495.6308953762054,100,198.3262604300235,-0.009449189,0.025998353958129883,148,1.2969971e-08,16.415995121002197,63.19702916622104
36.9708181283412,1500000,13.622504949569702,111.53392404492843,16.633991956710815,28.694374418962944,2.458430290222168,0.2589991092681885,2512.2778873443604,100,186.22695156345836,-0.009027472,0.0279693603515625,149,6.1035155e-09,16.347023487091064,64.7806051596715
15.313136761134656,1510000,13.308630466461182,119.6555061709917,16.40299105644226,30.092424893624848,2.5464470386505127,0.26199817657470703,2528.6938786506653,100,180.3349134780561,-0.008426819,0.022999048233032227,150,2.4414062e-08,16.11799383163452,68.42585809395503
