n_timesteps,train-StdReturn,ItrTime,train-AverageDiscountedReturn,train-MinReturn,LossBefore,LossAfter,train-NumTrajs,train-MaxReturn,Time-SampleProc,Time-Sampling,Itr,train-AverageReturn,train-PolicyExecTime,Time,Time-Optimization,train-EnvExecTime
760000,35.75188653957208,19.1152184009552,-1.7690084644297466,-110.03332455934405,-1.8310548e-08,-0.016027914,100,126.46486313742425,0.027967214584350586,18.835252046585083,75,-1.005131304381723,15.809480905532837,1316.6502344608307,0.2519991397857666,2.7497215270996094
770000,35.89284357223777,18.300931453704834,1.8468405348977766,-146.5663133874306,-1.2969971e-08,-0.024419053,100,92.2534245611559,0.023968219757080078,17.893964052200317,76,2.0259137440934976,14.854235887527466,1334.965166091919,0.3829991817474365,2.751343250274658
780000,38.120875837583476,18.403931140899658,-3.4425610267650537,-109.73776741348304,-0.0036638062,-0.044074867,100,100.24495981410638,0.030963659286499023,18.092967987060547,77,-6.089296196433418,15.088206052780151,1353.3830964565277,0.2799994945526123,2.7105236053466797
790000,28.007779220883652,17.70755887031555,-2.590128502336276,-89.4987986056563,3.0517577e-09,-0.01601125,100,55.87580587911753,0.025984764099121094,17.414573192596436,78,-4.81819716933932,14.53274941444397,1371.104654788971,0.26600027084350586,2.6244454383850098
800000,34.65063677571884,17.452932596206665,-0.8073391462339865,-79.8120407743034,-1.5258789e-09,-0.028780604,100,95.46761615987414,0.037000179290771484,17.140934467315674,79,-1.359368690443551,14.228755235671997,1388.5715863704681,0.2749979496002197,2.6381466388702393
810000,35.40234594249996,17.710880517959595,-2.825864647976236,-94.83665632541272,-8.392334e-09,-0.02512321,100,86.59434858756212,0.02896571159362793,17.42388415336609,80,-4.311451822272494,14.485718727111816,1406.310471534729,0.2569999694824219,2.6532042026519775
820000,42.98969603826011,17.1957004070282,1.2896433190632353,-116.57755104821614,2.746582e-08,-0.017708456,100,103.01441679143602,0.02399897575378418,16.91070246696472,81,1.5248129170121185,13.952003717422485,1423.519170999527,0.2599983215332031,2.687575340270996
830000,36.66862640140464,17.734933614730835,0.9220534937623668,-108.41581469963981,-1.2207031e-08,-0.027890783,100,86.91200282232698,0.028001070022583008,17.4399356842041,82,0.6172174747074094,14.420956373214722,1441.267105102539,0.26599574089050293,2.6919476985931396
840000,36.747086177691834,18.002933979034424,5.322763232912008,-88.83403561303572,-1.8310548e-08,-0.03266528,100,83.19279117060883,0.025969505310058594,17.707967281341553,83,8.733665497388268,14.661126852035522,1459.2830395698547,0.2689971923828125,2.768824577331543
850000,36.940838669912665,17.790388822555542,3.927351316668714,-95.94268166176656,-4.577637e-09,-0.05292301,100,103.95564565616976,0.023000478744506836,17.49838876724243,84,6.730170518476053,14.523669481277466,1477.08642745018,0.26799893379211426,2.730613946914673
860000,40.50724977129789,18.36893081665039,1.555515921135221,-96.68118294463986,-3.6621095e-08,-0.0229552,100,110.59679012535366,0.023000240325927734,18.07993173599243,85,1.9164059529225212,15.013109683990479,1495.4693593978882,0.26599884033203125,2.810774326324463
870000,38.63854154562271,17.860934495925903,2.9629239302680292,-144.08196482578646,9.918213e-09,-0.015330123,100,73.0304829058543,0.031000852584838867,17.56393575668335,86,3.850863427377671,14.531260013580322,1513.344292640686,0.26599788665771484,2.7567427158355713
880000,37.492259776736944,17.559935569763184,2.203851766151456,-104.29822652895766,-6.1035155e-09,-0.035764787,100,86.6123668521676,0.023999691009521484,17.275936365127563,87,2.2755378487870512,14.223007678985596,1530.9182279109955,0.25999951362609863,2.7748513221740723
890000,38.00463574946851,16.84993863105774,2.7245953749845473,-109.22372459114628,1.2207031e-08,-0.020854186,100,93.92869360030535,0.024004220962524414,16.553939819335938,88,3.386274218667062,13.62821626663208,1547.782166004181,0.2709944248199463,2.657735586166382
900000,37.47768384755378,17.28693652153015,-1.1394009148374737,-108.53631788726564,1.3160705e-08,-0.022381594,100,92.95746636343443,0.021999597549438477,17.00893759727478,89,-3.643180828146854,14.100108623504639,1565.0821018218994,0.2559993267059326,2.6518537998199463
