LossBefore,Time-Sampling,train-AverageDiscountedReturn,train-MinReturn,train-MaxReturn,Time-Optimization,n_timesteps,train-NumTrajs,ItrTime,LossAfter,train-StdReturn,train-PolicyExecTime,train-AverageReturn,train-EnvExecTime,Time-SampleProc,Time,Itr
-1.1810085e-05,16.209928035736084,22.489094238890452,23.892977736720034,32.27465167219378,0.2599973678588867,370000,100,16.492926597595215,-0.0011982812,1.642110606568291,13.401071310043335,28.975933107536747,2.5528430938720703,0.02300119400024414,621.3729972839355,36
-1.1728699e-05,16.15631365776062,22.636965398600445,23.851118625974006,31.824465362784526,0.2599961757659912,380000,100,16.440286874771118,-0.0012654781,1.3844742166155368,13.414382219314575,29.228697408800954,2.461261510848999,0.023977041244506836,637.827285528183,37
-1.1663361e-05,16.189430475234985,22.293245160946654,21.484105767750577,31.883689896243688,0.2559986114501953,390000,100,16.467429637908936,-0.001957652,1.5052191131416615,13.393583059310913,28.906335132687282,2.473841428756714,0.020999670028686523,654.3067145347595,38
-1.1558239e-05,16.36048698425293,22.447290955883574,24.58001047124492,31.763788282435762,0.2559988498687744,400000,100,16.636484622955322,-0.0015241678,1.3804282741405707,13.656129121780396,29.023856606808266,2.4677047729492188,0.018999099731445312,670.9552004337311,39
-1.1496996e-05,16.178927183151245,22.627453759158485,24.729247652824856,33.16744305259746,0.25699639320373535,410000,100,16.457924365997314,-0.0013414824,1.4174608723288067,13.364817380905151,29.408859157916254,2.5691468715667725,0.02100062370300293,687.4251248836517,40
-1.1421729e-05,16.270957231521606,22.602627803565998,24.32969920855759,32.025120844805414,0.25300025939941406,420000,100,16.54092574119568,-0.0004798944,1.3727079427292899,13.614736557006836,29.3193071275959,2.3999969959259033,0.016968250274658203,703.979052066803,41
-1.1366411e-05,16.153959035873413,22.664018579809568,23.938221343843974,32.183647974037214,0.25600171089172363,430000,100,16.433927297592163,-0.0020195504,1.6155745793513079,13.364223718643188,29.313613213274433,2.547774314880371,0.023966550827026367,720.4259786605835,42
-1.1318168e-05,16.23595666885376,22.802260861313744,25.09351813288002,32.53981619723512,0.25699687004089355,440000,100,16.517923831939697,-0.00196511,1.4917775213587492,13.43849229812622,29.500589797795712,2.525402307510376,0.0239713191986084,736.9559025764465,43
-1.126406e-05,16.122926950454712,22.78519821969753,26.08345903699769,32.694268860735,0.26799583435058594,450000,100,16.408925533294678,-0.0018563999,1.4335568783551946,13.378891706466675,29.428163381933402,2.5035653114318848,0.017001867294311523,753.377828836441,44
-1.1192787e-05,16.200958967208862,22.88810704204925,25.857635733416657,32.49202193924193,0.2589988708496094,460000,100,16.483925819396973,-0.001741238,1.6133865458644492,13.346708536148071,29.54782101911335,2.5902316570281982,0.023967981338500977,769.8757536411285,45
-1.1112198e-05,16.322875499725342,22.89474209189988,20.677648121836018,33.92064086932453,0.2529606819152832,470000,100,16.59487223625183,-0.0018935035,1.946027863877675,13.544073820114136,29.498367852691537,2.5147933959960938,0.019036054611206055,786.4836266040802,46
-1.1032357e-05,16.2339289188385,22.913838647227372,27.015943603865306,34.132719831323456,0.2609999179840088,480000,100,16.51292634010315,-0.0024349862,1.4710422273140367,13.489829063415527,29.545687172173093,2.4824647903442383,0.01799750328063965,803.0095508098602,47
-1.0934628e-05,16.189929485321045,23.286740928512685,25.782046249473932,33.99017439814665,0.2689986228942871,490000,100,16.478925228118896,-0.0023050809,1.6893537680758666,13.432774305343628,29.78332977125126,2.4976580142974854,0.0189969539642334,819.501476764679,48
-1.0856767e-05,16.129951238632202,23.28799086910585,25.834131501444595,32.910976605177794,0.2539677619934082,500000,100,16.408925771713257,-0.002699854,1.5472030752960093,13.293954133987427,29.824132830969187,2.541382074356079,0.024005889892578125,835.9234027862549,49
-1.0755024e-05,16.309022665023804,23.451704414271585,25.72748937835625,34.273570085253034,0.26099538803100586,510000,100,16.592993021011353,-0.002599906,1.7080281505897157,13.553524732589722,30.025930788808264,2.49727201461792,0.02297496795654297,852.5293965339661,50
-1.0646623e-05,16.13896656036377,23.438641801237782,25.00898721435528,33.999478371979556,0.2559969425201416,520000,100,16.420925617218018,-0.0031309992,1.7302562038886256,13.37737774848938,30.006473489415043,2.487110137939453,0.024962663650512695,868.9633224010468,51
-1.0553758e-05,16.156933069229126,23.686646167434645,25.66267913483817,34.597241489701055,0.2769961357116699,530000,100,16.454927921295166,0.005798081,1.7721799550734811,13.450814008712769,30.32456214333144,2.460221290588379,0.020998716354370117,885.4312498569489,52
-1.0459258e-05,16.215843677520752,23.79163713432496,25.708490336096396,33.49272742741528,0.25299787521362305,540000,100,16.49584126472473,-0.0035414672,1.4119096313150634,13.366442441940308,30.344720005812878,2.602689027786255,0.024999618530273438,901.9410910606384,53
-1.0371477e-05,16.134965896606445,23.937204017634553,26.726537989562075,34.19408884871089,0.2519998550415039,550000,100,16.40493083000183,0.008625774,1.532326554606926,13.453791856765747,30.501291304780448,2.413017511367798,0.017965078353881836,918.35902094841,54
-1.030364e-05,16.403329610824585,23.792364469511664,26.244946828707082,33.53226836588539,0.26799821853637695,560000,100,16.69132685661316,-0.0006111057,1.5229224309044516,13.508840799331665,30.278693691092595,2.636404037475586,0.017998933792114258,935.0633466243744,55
-1.021457e-05,16.22937035560608,23.93709000868992,26.34105996828077,34.752370272598746,0.26399946212768555,570000,100,16.518370151519775,-0.0028385473,1.5390876669924634,13.419648170471191,30.426349444806327,2.5403695106506348,0.02399921417236328,951.5947167873383,56
-1.0142268e-05,16.39193081855774,24.142072579120317,26.580534734277833,33.557477485843584,0.2540006637573242,580000,100,16.670929670333862,0.001800876,1.293340168903369,13.59914755821228,30.646191518684205,2.5315446853637695,0.024998188018798828,968.2786457538605,57
