Time-Sampling,Time-Optimization,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,LossBefore,train-MaxReturn,train-MinReturn,LossAfter,train-StdReturn,Time-SampleProc,ItrTime,n_timesteps,Time,Itr,train-EnvExecTime,train-AverageDiscountedReturn
17.78192639350891,0.24600005149841309,233.73864284217052,100,14.466702461242676,3.5858154e-08,270.18757251276867,153.6196808403183,-0.111049466,20.267964606877634,0.020998001098632812,18.048924446105957,610000,1102.0988478660583,60,2.9882216453552246,128.59033415574626
17.790011882781982,0.24299955368041992,243.7311034756442,100,14.49003791809082,6.1035155e-09,264.4025691738366,213.04980465187234,-0.037175093,9.68879245057407,0.02342057228088379,18.056432008743286,620000,1120.1682796478271,61,3.0184061527252197,132.94989950931895
17.761656761169434,0.24999785423278809,190.9441753982981,100,14.498507261276245,6.1035155e-09,241.12817483562876,158.0069257102392,-0.36883995,14.272048100527954,0.0169985294342041,18.029653310775757,630000,1138.2119326591492,62,3.0001020431518555,108.96675846837526
17.776986598968506,0.23859214782714844,220.14396937573937,100,14.51980710029602,-1.8310548e-08,251.87944427724358,175.86717441615934,-0.035656128,22.252873483025077,0.024997949600219727,18.041576385498047,640000,1156.2665107250214,63,2.991152286529541,121.77655072298728
17.618887424468994,0.24100065231323242,189.67075776577443,100,14.43865156173706,-3.051758e-08,237.51679590466063,151.15100846842336,0.0010618503,23.81282943754596,0.01999688148498535,17.880884885787964,650000,1174.1613228321075,64,2.912360668182373,111.06054031354813
17.658801078796387,0.240997314453125,166.34378267552597,100,14.43668794631958,7.6293943e-10,234.28432361519202,104.46008749455228,-0.097261295,25.283541888973076,0.024998903274536133,17.924797296524048,660000,1192.0991196632385,65,2.938549757003784,100.40791022666389
17.788525819778442,0.238999605178833,164.36110170300603,100,14.51516604423523,6.1035155e-09,234.06382490859087,106.67727222678381,-0.03916928,41.282611726605644,0.02096700668334961,18.048492431640625,670000,1210.1606142520905,66,3.021606922149658,103.17472452440778
17.809978485107422,0.23899626731872559,136.51277542488754,100,14.506726026535034,1.8310548e-08,217.47014863820618,106.45009860540416,-0.058057997,21.562405414478004,0.022966861724853516,18.072942972183228,680000,1228.246558189392,67,3.0151102542877197,91.7983355768464
17.721970081329346,0.24354982376098633,166.0138609409204,100,14.45383358001709,-1.8310548e-08,239.95768905586047,102.21370298587176,-0.11106452,30.620607703001415,0.016994237899780273,17.98349690437317,690000,1246.2430560588837,68,3.0011415481567383,103.2818972193887
17.60145854949951,0.2369992733001709,180.57367491199787,100,14.37033224105835,-3.051758e-08,245.36439050825888,134.43527587877318,-0.017955936,36.621297773396925,0.01999974250793457,17.858457565307617,700000,1264.1145129203796,69,2.974546432495117,109.69317457501685
