Itr,Time-SampleProc,train-MaxReturn,train-PolicyExecTime,train-MinReturn,train-StdReturn,Time-Sampling,Time-Optimization,ItrTime,train-NumTrajs,LossBefore,n_timesteps,Time,train-EnvExecTime,LossAfter,train-AverageReturn,train-AverageDiscountedReturn
97,0.025115489959716797,262.05200025599294,14.460211515426636,230.88580833590652,6.97504345798596,17.67298150062561,0.2808852195739746,17.9789822101593,100,-7.820129e-09,980000,1789.7997217178345,2.9572269916534424,-0.0013245294,247.80555650941008,140.11033912829592
98,0.02200007438659668,259.99778448162886,14.566229343414307,220.89660028941995,8.751896512113822,17.9151713848114,0.257997989654541,18.19617009162903,100,0.0038808838,990000,1808.0098900794983,3.084172487258911,0.0005927673,246.2729828115822,139.3526229629624
99,0.019000530242919922,260.00228595529575,15.520405292510986,214.00283321770527,7.667541547810251,18.997881650924683,0.27999424934387207,19.297879457473755,100,6.1035155e-09,1000000,1827.320767402649,3.1877694129943848,-0.0038781387,247.61207920742777,139.95166701231355
100,0.024997234344482422,260.455758099358,15.147729635238647,221.41730450974902,6.136435129956249,18.628345727920532,0.26451611518859863,18.91886043548584,100,1.525879e-08,1010000,1846.2526278495789,3.180644989013672,-0.00023536988,248.7614567294973,140.53846490579767
101,0.02797222137451172,262.0682427134487,14.449665784835815,221.22981763818376,6.7008276802829005,17.770857334136963,0.26999640464782715,18.071855306625366,100,0.009338297,1020000,1864.3374826908112,3.048527240753174,0.00577056,250.7061483250981,141.36658634961145
102,0.020969867706298828,261.9984614381506,14.160577058792114,222.6466522895669,6.592586880076362,17.420584678649902,0.28252077102661133,17.724075317382812,100,6.1035155e-09,1030000,1882.0745584964752,2.991267681121826,0.002571173,251.16905077289007,141.50724474011142
103,0.023916959762573242,265.4660368145152,14.035638332366943,235.63995432548631,6.328499535011163,17.230972290039062,0.261519193649292,17.516408443450928,100,9.155274e-09,1040000,1899.6039671897888,2.936720848083496,0.0043734103,251.64231255445907,141.5561225750588
104,0.03099846839904785,263.09510114291567,14.210571050643921,214.02936713364983,7.094539575430215,17.45687747001648,0.2579970359802246,17.745872974395752,100,9.155274e-09,1050000,1917.3628404140472,2.931151866912842,0.0018396698,252.61346402170554,141.86238208431348
105,0.0209963321685791,266.86668386876306,14.112278461456299,233.15875264888615,5.929906127074354,17.317304134368896,0.27299976348876953,17.611300230026245,100,1.449585e-08,1060000,1934.988142490387,2.956785202026367,-0.00029178313,254.3360874569671,142.69081925682679
106,0.021001100540161133,267.2707019342918,14.309973239898682,237.20122489103815,5.831573561123066,17.54198980331421,0.25699901580810547,17.820989847183228,100,-3.0517577e-09,1070000,1952.8231327533722,2.965118885040283,0.0011181458,256.8711158795839,143.37749075126848
