train-AverageReturn,ItrTime,train-EnvExecTime,train-PolicyExecTime,Time,Time-Optimization,Itr,Time-Sampling,train-MinReturn,LossAfter,n_timesteps,train-AverageDiscountedReturn,train-MaxReturn,Time-SampleProc,LossBefore,train-StdReturn,train-NumTrajs
83.15640125243642,16.6597740650177,2.570685625076294,13.546600580215454,2649.195755958557,0.27499890327453613,156,16.363776922225952,-7.019716998773737,-0.011490012,1570000,48.552876711331756,168.7533645964193,0.019997835159301758,7.6293943e-10,41.192394027442724,100
85.70977897775761,16.902098894119263,2.6476476192474365,13.69132947921753,2666.110854625702,0.270998477935791,157,16.605100870132446,5.7897033579787305,-0.011851395,1580000,49.98652450710533,210.48752292928864,0.02599954605102539,1.525879e-08,39.35467822153572,100
92.36987916800213,17.214874267578125,2.6013898849487305,14.019366025924683,2683.340728521347,0.25699925422668457,158,16.936875581741333,-2.0098226058271194,-0.013943894,1590000,53.34764128989321,176.92321096088025,0.020999431610107422,-1.5258789e-09,37.23241247515922,100
88.11496599100947,17.102266788482666,2.646077871322632,13.9046311378479,2700.455995321274,0.26599979400634766,159,16.80926752090454,10.317960386460282,-0.015517084,1600000,51.354128804847015,183.4687671478886,0.026999473571777344,2.4414062e-08,33.96476210685936,100
86.14592232785752,17.205988883972168,2.659539222717285,13.948217868804932,2717.674983739853,0.29200124740600586,160,16.884987592697144,-5.80806495963907,-0.010250921,1610000,49.931124406769904,198.9309489958779,0.0279996395111084,6.1035155e-09,39.262164547027346,100
85.41517182690767,18.130460500717163,2.8472397327423096,14.714930772781372,2735.8204424381256,0.26000046730041504,161,17.843460083007812,-30.064072436942396,-0.012430408,1620000,50.38525600666182,174.30020234914457,0.026999950408935547,-1.2207031e-08,38.31507341810792,100
86.82906224902976,16.83148431777954,2.5993242263793945,13.665804147720337,2752.664926290512,0.2820017337799072,162,16.522483587265015,-20.627876415669533,-0.008239957,1630000,50.24160340655511,165.77173662108868,0.02699899673461914,-6.1035155e-09,35.5807683579127,100
87.50775296364884,16.80992865562439,2.6114141941070557,13.644564628601074,2769.488852739334,0.26399779319763184,163,16.518977165222168,9.02570134923213,-0.013537582,1640000,50.98774298425623,194.5162860335665,0.026953697204589844,-1.5258789e-09,37.33833361385115,100
89.44379758081705,16.76291513442993,2.614856004714966,13.575202226638794,2786.2647681236267,0.2590007781982422,164,16.47194814682007,3.8380004894074826,-0.015310885,1650000,52.64664516029538,195.57352640922124,0.031966209411621094,0.009542489,41.242935914400846,100
87.67749816897214,16.858986854553223,2.59434175491333,13.704819917678833,2803.137754678726,0.2759971618652344,165,16.555988550186157,-25.212787926508263,-0.008803403,1660000,50.72388685706696,192.52968230155926,0.027001142501831055,0.016204247,42.736037510789195,100
88.92477340362596,16.90498661994934,2.622474193572998,13.716630935668945,2820.0577409267426,0.27199697494506836,166,16.602012634277344,20.291043667639176,-0.01513703,1670000,52.24398205600665,197.7262350834823,0.029976606369018555,-6.1035155e-09,34.59337490515349,100
97.25324393797264,16.851988077163696,2.5846850872039795,13.725487232208252,2836.9227287769318,0.25499963760375977,167,16.57001805305481,-14.33920941718229,-0.015238882,1680000,56.59614790634159,186.02280304759117,0.026970386505126953,1.2207031e-08,40.74105378606833,100
91.43851581974171,16.790080308914185,2.5419857501983643,13.69205117225647,2853.726807832718,0.2609989643096924,168,16.50710892677307,12.2455119877538,-0.018507166,1690000,52.10722053463552,171.9203857338915,0.02097177505493164,-1.2397766e-09,37.55398718399996,100
98.09991857600444,16.829987287521362,2.5341005325317383,13.717493057250977,2870.569794178009,0.2579681873321533,169,16.54598903656006,22.756204250443048,-0.017258652,1700000,56.84695393734845,193.80608212291082,0.025028705596923828,-1.2016296e-08,34.44937165633384,100
93.48579308057806,16.895986318588257,2.581609010696411,13.775715112686157,2887.4797801971436,0.257997989654541,170,16.614989280700684,-23.46524879848301,-0.017954547,1710000,53.76938151482334,227.19714417260786,0.021998882293701172,0.0022005616,38.572585665334266,100
95.65493924506289,17.178030967712402,2.6149208545684814,13.983971118927002,2904.670810699463,0.2760004997253418,171,16.872032403945923,-3.389386756711417,-0.01982092,1720000,55.34615291970093,183.24390322581007,0.02899789810180664,-1.8310548e-08,39.25758010489768,100
100.81849986924881,16.735717058181763,2.608987808227539,13.593741655349731,2921.420527458191,0.25899839401245117,172,16.452751636505127,16.98020795036838,-0.016644262,1730000,58.00468466331826,201.5408902651696,0.02396702766418457,-1.2207031e-08,36.83173155184295,100
96.01903216259672,17.148247480392456,2.610142469406128,13.999304056167603,2938.5817742347717,0.253997802734375,173,16.864279747009277,2.4103573463657693,-0.013423581,1740000,54.375423693121775,178.44696146411235,0.028000593185424805,1.5258789e-09,41.28375700193963,100
98.51003470893842,17.051463842391968,2.6067144870758057,13.905709028244019,2955.646237373352,0.2610011100769043,174,16.768465280532837,0.2554807102005596,-0.011669073,1750000,56.21908703023895,184.13312254175162,0.021997451782226562,1.6784668e-08,38.65757032175793,100
87.2049050712454,16.842811822891235,2.5892903804779053,13.712114810943604,2972.50204873085,0.2609977722167969,175,16.560813426971436,-15.35437760274873,-0.01161046,1760000,49.806214589998326,190.4140660928167,0.02100062370300293,-3.0517577e-09,38.17799233465011,100
100.77681637650457,16.721518754959106,2.622812509536743,13.561499834060669,2989.2365679740906,0.2619969844818115,176,16.43051767349243,8.591427684105472,-0.0055549103,1770000,58.70012753865215,192.67098932987795,0.027971744537353516,9.155274e-09,40.41191307486943,100
97.29012662617309,16.795844316482544,2.5884554386138916,13.665098667144775,3006.0454120635986,0.2579977512359619,177,16.514846801757812,-14.050006469364638,-0.0149463685,1780000,54.86599753561249,176.13756427952595,0.021970748901367188,-1.2207031e-08,35.753205313399235,100
98.62395189974413,16.687324285507202,2.6166019439697266,13.54155445098877,3022.7467358112335,0.25100231170654297,178,16.413323640823364,-2.1079212084823356,-0.015290695,1790000,56.513252459597965,174.25551021759594,0.020959138870239258,1.0681152e-08,35.53670971853792,100
99.83505441831343,16.750946521759033,2.681878089904785,13.526711702346802,3039.5106811523438,0.2589988708496094,179,16.46497893333435,17.470206110679673,-0.017647263,1800000,57.00945332317819,190.91128364196305,0.026968717575073242,-1.525879e-08,34.44407231147559,100
98.78100871052878,16.73344874382019,2.5767982006073,13.519367218017578,3056.2571296691895,0.2799985408782959,180,16.42044973373413,-8.652959030520105,-0.014387201,1810000,56.95509146636325,224.08413857200688,0.03300046920776367,3.3569336e-08,42.54005634418199,100
104.76150501561813,16.677988052368164,2.5440049171447754,13.585777044296265,3072.9481184482574,0.25800132751464844,181,16.39703130722046,-0.33655356984492835,-0.0141666485,1820000,60.18207124285858,191.9744641342173,0.02295541763305664,6.1035155e-09,36.27215167325766,100
111.41915079446791,16.786988258361816,2.6085283756256104,13.655481576919556,3089.749105453491,0.2579653263092041,182,16.507002115249634,1.0659381184344323,-0.015358518,1830000,64.69601383212094,187.558951910523,0.022020816802978516,5.722046e-10,36.74440528622074,100
105.70924319378109,16.861996173858643,2.596010684967041,13.72554349899292,3106.624101638794,0.2649986743927002,183,16.567996740341187,15.98602326935212,-0.016492262,1840000,60.55769976425167,171.88983603683576,0.028002023696899414,1.2969971e-08,37.128529947409234,100
103.5906797634119,16.933987379074097,2.594634771347046,13.76025652885437,3123.5710892677307,0.27399635314941406,184,16.636024475097656,6.275771321129978,-0.015593054,1850000,59.537985586431866,196.02939446582806,0.022002696990966797,1.525879e-08,37.43254064441144,100
109.74768145356593,16.999571561813354,2.6084272861480713,13.830647706985474,3140.583660364151,0.25800037384033203,185,16.709572553634644,2.639760198002862,-0.015541187,1860000,63.0550737974132,234.82174870322595,0.031998634338378906,-6.1035155e-09,38.61221840516865,100
106.10569634365216,16.691879749298096,2.634063243865967,13.514527559280396,3157.289539337158,0.2579982280731201,186,16.404881715774536,21.56619180742922,-0.011537738,1870000,60.44545299408541,191.42620353784284,0.028999805450439453,1.0681152e-08,36.215355077190026,100
104.7843986658538,16.711989402770996,2.5031654834747314,13.662179708480835,3174.014528989792,0.2570016384124756,187,16.432021617889404,21.863831586001808,-0.016576366,1880000,59.42069575868992,187.12468541930048,0.021966218948364258,-1.6021728e-08,37.17956974140314,100
106.58059603072309,16.70598840713501,2.546051502227783,13.603327751159668,3190.7335166931152,0.2570011615753174,188,16.420989513397217,7.309190318752896,-0.016586915,1890000,61.724371154277115,189.4934896403237,0.027997732162475586,-6.1035155e-09,41.02110851946335,100
104.74850687574242,17.297283411026,2.699897050857544,14.036128282546997,3208.043799161911,0.2690002918243408,189,17.00630760192871,12.802551394266736,-0.0134185245,1900000,60.28736340288264,185.06317885378994,0.020976781845092773,-2.0599366e-08,37.998759813398735,100
106.5570998099119,16.664989471435547,2.624069929122925,13.499948263168335,3224.7217876911163,0.2550029754638672,190,16.38698935508728,9.215833743994693,-0.010550977,1910000,61.746021377034175,201.95334426972116,0.020995616912841797,3.0517577e-09,37.49126283044671,100
108.6220239100304,16.759114980697632,2.6151037216186523,13.555638074874878,3241.493900537491,0.26599860191345215,191,16.471113204956055,-4.2168989619710775,-0.012282848,1920000,62.28124898134056,179.23439337563633,0.01999831199645996,9.155274e-09,38.43115913409399,100
108.94992362124304,16.756316900253296,2.566056966781616,13.655495166778564,3258.2632184028625,0.26000022888183594,192,16.47331690788269,-7.958825482155621,-0.015212824,1930000,61.17065114270707,213.24516876673763,0.02299976348876953,6.1035155e-09,40.636841578210706,100
105.92136654112497,16.82384705543518,2.5891761779785156,13.707030773162842,3275.100065469742,0.26399827003479004,193,16.537872314453125,24.53785964817717,-0.013963061,1940000,60.26749353472611,199.8216144508049,0.020975589752197266,-3.0517577e-09,38.839121494828085,100
105.11839110563629,17.112123250961304,2.649934768676758,13.93553113937378,3292.225188732147,0.2589988708496094,194,16.82314896583557,0.12013723055420655,-0.013370834,1950000,60.65399197782869,224.721167284249,0.027971506118774414,-3.0517577e-09,41.644499762332785,100
113.93989932668154,17.091702938079834,2.625965118408203,13.93576979637146,3309.329894065857,0.2539999485015869,195,16.813735485076904,3.619770053790753,-0.016658256,1960000,65.14302450331542,203.28914377957523,0.023967504501342773,-1.525879e-08,39.52589535461719,100
108.12214468883036,16.73998737335205,2.610795259475708,13.581091165542603,3326.082881450653,0.26200008392333984,196,16.451990127563477,1.9550195077473107,-0.013938287,1970000,62.30618523322983,194.1235370547212,0.025997161865234375,0.012661352,40.04395073892237,100
114.13416774768976,16.74089002609253,2.6360764503479004,13.562761068344116,3342.836771249771,0.2720000743865967,197,16.441890239715576,-15.449922908916223,-0.016682144,1980000,65.09414658866942,223.8417480434903,0.02399897575378418,-9.155274e-09,44.34299451412201,100
116.2982127996347,16.94598960876465,2.587509870529175,13.786503314971924,3359.7957603931427,0.2609994411468506,198,16.65599250793457,26.947279578286874,-0.014856518,1990000,66.91927977692166,200.19092434979166,0.02899765968322754,-2.4414062e-08,34.98938614293166,100
112.38160269142689,16.72466540336609,2.580745220184326,13.599561929702759,3376.5334239006042,0.26200008392333984,199,16.441696882247925,43.23449894958,-0.016090149,2000000,63.701475101359385,190.2226860117434,0.02096843719482422,-3.0517577e-09,34.52530122762606,100
112.2185905565553,16.755515575408936,2.583510398864746,13.646705627441406,3393.3029391765594,0.25899696350097656,200,16.475542068481445,-12.014503898440173,-0.017179666,2010000,64.0870296851276,205.09694682047845,0.020976543426513672,-1.525879e-08,43.75508582212602,100
108.66463317287679,16.828338861465454,2.651320219039917,13.60146450996399,3410.144278049469,0.26000046730041504,201,16.547340869903564,-16.383066297841108,-0.018405301,2020000,62.781606054915564,216.42213360068803,0.02099752426147461,-1.2207031e-08,41.40938405483531,100
107.22225208810825,16.773988723754883,2.5631253719329834,13.668361186981201,3426.9312665462494,0.26400089263916016,202,16.483015060424805,7.196190570691545,-0.014686885,2030000,61.549847131977224,211.8066465434547,0.025997638702392578,9.155274e-09,42.729951554322724,100
114.71693967559447,17.053542137145996,2.6240804195404053,13.897354364395142,3443.9978079795837,0.2609984874725342,203,16.770583868026733,17.26990255971882,-0.015686963,2040000,66.42081752686322,216.98941929554385,0.021959781646728516,3.0517577e-09,39.34885880138973,100
110.03657756127184,16.82369875907898,2.53659987449646,13.742990255355835,3460.8355073928833,0.25800132751464844,204,16.54473066329956,-0.4695307322666227,-0.01660946,2050000,63.30987154942499,179.94261435002971,0.020966768264770508,0.008981256,38.04352329893691,100
112.08602851234322,16.581988096237183,2.472369432449341,13.560050964355469,3477.4304955005646,0.25899744033813477,205,16.29901695251465,-7.036221671090064,-0.017046072,2060000,64.59392100603962,184.88886874488037,0.022973299026489258,-6.1035155e-09,41.58371423694107,100
115.46066917415003,16.55388355255127,2.5563273429870605,13.359026670455933,3493.997378587723,0.36099958419799805,206,16.169883489608765,8.898226212289547,-0.017818235,2070000,65.98120862979877,206.73331226481997,0.023000478744506836,3.967285e-08,43.371496844555466,100
112.92866084689882,16.356988430023193,2.6165382862091064,13.209329605102539,3510.377366065979,0.2589995861053467,207,16.07098960876465,19.96979467974904,-0.018524233,2080000,64.89578767480384,200.32983926679404,0.02602863311767578,-6.1035155e-09,42.60207498974315,100
