train-PolicyExecTime,train-MaxReturn,train-StdReturn,train-AverageReturn,n_timesteps,Time-Sampling,ItrTime,Time-Optimization,Time,LossBefore,Itr,train-NumTrajs,train-MinReturn,LossAfter,Time-SampleProc,train-EnvExecTime,train-AverageDiscountedReturn
13.893634796142578,129.82735637556482,50.18318474081871,11.38261637829574,1830000,16.67958164215088,17.058578968048096,0.3579981327056885,3124.9593501091003,-3.6621095e-08,182,100,-171.13229888502678,-0.021548664,0.02099919319152832,2.5252888202667236,8.482045537145144
14.075948715209961,132.20966115524593,47.41790582767271,9.331456962040114,1840000,16.87158226966858,17.156580448150635,0.2599983215332031,3142.130929708481,-0.0020672362,183,100,-95.58886323909131,-0.027928894,0.02499985694885254,2.5522704124450684,6.197732375908197
13.810382604598999,113.58727898623249,46.32264181907367,6.335784467812097,1850000,16.639697313308716,16.9116952419281,0.25099897384643555,3159.055624961853,-0.0023064208,184,100,-94.72548319884122,-0.032753658,0.02099895477294922,2.569255828857422,4.622561220031777
13.95031213760376,150.42080515218595,50.65572574662778,15.196879188841177,1860000,16.727564096450806,17.008564710617065,0.2570004463195801,3176.0771894454956,6.1035155e-09,185,100,-80.70646854206191,-0.029656837,0.022998571395874023,2.518839120864868,8.544259165039854
14.018941402435303,135.92885504901042,49.56742544969338,3.3136780220290962,1870000,16.794005870819092,17.071972846984863,0.25499677658081055,3193.1621611118317,-3.6621095e-08,186,100,-118.02346642892127,-0.0544862,0.02196955680847168,2.49944806098938,1.7213452269325507
14.089414834976196,123.81525473759841,41.70231740267369,3.976155875590357,1880000,16.906959533691406,17.19095802307129,0.26300048828125,3210.36611866951,-1.8310548e-08,187,100,-89.32182128825404,-0.059073657,0.019998550415039062,2.5618410110473633,2.039646228746186
13.882399797439575,130.36714329721138,43.565625753802216,12.98365999360205,1890000,16.67975378036499,16.953752756118774,0.25299835205078125,3227.333870410919,-5.1116942e-08,188,100,-74.02559644341277,-0.03308221,0.02100062370300293,2.546081066131592,7.074555063558594
14.058617115020752,99.69714042306255,41.78245868912937,9.997012298204414,1900000,16.91748857498169,17.193450927734375,0.24900078773498535,3244.540321111679,1.0681152e-08,189,100,-75.94758727463334,-0.032920018,0.026961565017700195,2.6192500591278076,6.857875845310329
14.007131338119507,140.42091036999426,49.35950089667602,21.5274312761762,1910000,16.75593113899231,17.033929347991943,0.25600266456604004,3261.5872514247894,-1.525879e-08,190,100,-112.01363773634748,-0.049477622,0.02199554443359375,2.494917392730713,13.991641545703255
14.127721548080444,168.9688490729449,54.08371733328992,14.227634392781143,1920000,17.055976629257202,17.330971240997314,0.25299739837646484,3278.9322214126587,6.1035155e-09,191,100,-112.2139166915602,-0.07969759,0.02099776268005371,2.625383138656616,10.4421598753387
