LossBefore,Time,train-StdReturn,Time-Sampling,Itr,Time-Optimization,train-MinReturn,train-EnvExecTime,train-AverageDiscountedReturn,n_timesteps,Time-SampleProc,ItrTime,train-PolicyExecTime,train-MaxReturn,train-NumTrajs,LossAfter,train-AverageReturn
0.005631079,559.7706491947174,44.018662008698854,16.79699683189392,31,0.2499685287475586,-116.03054717657778,2.5971693992614746,-9.791394834021169,320000,0.023028850555419922,17.0699942111969,13.925328731536865,120.55241490070523,100,-0.47073936,-15.107101692601965
0.0037398925,577.171707868576,50.125817913672584,17.126089334487915,32,0.23196911811828613,-110.20271300747872,2.6181840896606445,-2.9193358304149153,330000,0.0280301570892334,17.38805913925171,14.231163501739502,152.73533317312592,100,-0.9940415,-4.737333670777811
-0.0027840333,593.744701385498,35.55397713292669,16.276991844177246,33,0.25100088119506836,-86.48460654907167,2.587956428527832,0.758240613592812,340000,0.028998374938964844,16.558993101119995,13.425315141677856,88.74684072036139,100,-1.79033,-0.13573343953762732
-0.019730614,610.2308146953583,39.166766337451904,16.203145027160645,34,0.24399948120117188,-104.39982613782786,2.6085596084594727,0.6533862307240013,350000,0.02596879005432129,16.473113298416138,13.350892782211304,115.42878281563884,100,-0.23559414,-2.008380887688753
0.004718408,626.3238108158112,38.96666245358324,15.789020776748657,35,0.26599764823913574,-142.67253798357254,2.5813794136047363,-8.51449390284996,360000,0.022975444793701172,16.078996181488037,12.958085775375366,106.24223527435258,100,-0.8286703,-17.876235830465347
-0.0077006468,642.651439666748,43.01998774215642,16.039657592773438,36,0.24899649620056152,-142.04557854525922,2.5338261127471924,-4.89445486028216,370000,0.024976253509521484,16.31463098526001,13.240208148956299,130.71596509052074,100,-0.71252686,-13.39178590407985
-0.0046753907,659.5583410263062,39.40918174114165,16.61593008041382,37,0.25096607208251953,-120.43569601579817,2.5626015663146973,-8.317961984616597,380000,0.02600550651550293,16.89290165901184,13.798868656158447,91.71556527838042,100,-0.49879855,-17.545463985376696
0.0042509767,676.0722455978394,50.30656954142735,16.188912868499756,38,0.27899718284606934,-95.42645941870005,2.540104627609253,1.5073804899722834,390000,0.029000282287597656,16.50090479850769,13.338348627090454,178.81338548040375,100,-0.33151236,-2.322122732410395
0.0041973875,692.5242426395416,50.09521358237387,16.148021459579468,39,0.2590005397796631,-90.9341615586252,2.636017322540283,-2.7963527258189647,400000,0.0309755802154541,16.438997507095337,13.232594013214111,210.9313688221472,100,-0.44991708,-8.659229778367596
-0.012640039,708.5712349414825,53.720462662480514,15.725996255874634,40,0.25299835205078125,-101.4256083959202,2.570019483566284,-4.457031592000843,410000,0.02900099754333496,16.009994745254517,12.912863969802856,189.5970573118389,100,-0.72136104,-10.718679258356651
0.013094287,725.4088408946991,49.35414797936765,16.53160572052002,41,0.26200151443481445,-152.59513599597955,2.5831141471862793,-4.818449708099127,420000,0.02799677848815918,16.822606325149536,13.689013719558716,135.5095085597068,100,-0.49980128,-11.481135356003817
0.011647265,741.5008347034454,50.079972180995,15.808994054794312,42,0.24799895286560059,-89.17608394605459,2.48718523979187,-4.844049687535941,430000,0.022001028060913086,16.078994035720825,13.073807001113892,193.09886236478187,100,-0.6555917,-8.674959994023148
-0.006703586,757.345831155777,39.79243859889499,15.55899691581726,43,0.24399924278259277,-138.76271687602053,2.5417141914367676,-8.915942857363175,440000,0.026999235153198242,15.83199691772461,12.772275924682617,109.91531617067443,100,-0.18621114,-11.652104519171045
0.0019970094,773.2898252010345,44.46038527625914,15.627997398376465,44,0.27299952507019043,-99.81705270480843,2.525848627090454,-13.753942923532389,450000,0.028997421264648438,15.93099570274353,12.85831904411316,148.26230304835101,100,-0.11836415,-16.566018491711667
-0.02046338,789.458821773529,42.015835013020464,15.880996227264404,45,0.24500060081481934,-124.06863628766243,2.521855592727661,-18.430919405212105,460000,0.028000593185424805,16.15599799156189,13.111467599868774,118.75418995137824,100,-0.10166822,-23.423165384827552
0.016105322,806.3804936408997,52.74414588595359,16.63367462158203,46,0.24699664115905762,-147.5820245068671,2.564436197280884,-15.233091782127484,470000,0.028002500534057617,16.908673763275146,13.82600212097168,115.08464946035666,100,-0.069922775,-19.05836097990246
0.00789458,822.7836654186249,44.45456813018822,16.094169855117798,47,0.27300047874450684,-149.21393793820113,2.5125718116760254,-20.757596726428478,480000,0.02300095558166504,16.39017128944397,13.339328050613403,71.35500936441566,100,-0.1439832,-28.254239574481634
0.0064515625,839.2115688323975,45.55717438700533,16.137905597686768,48,0.24799895286560059,-157.53336648809608,2.58667254447937,-21.093848364266865,490000,0.028000354766845703,16.413904905319214,13.29797649383545,66.35452450646886,100,-0.11632256,-27.838338366799597
-0.004394678,855.6204595565796,45.912868948584055,16.02494215965271,49,0.3489687442779541,-117.71867118593478,2.5676400661468506,-20.53724940188822,500000,0.021979808807373047,16.395890712738037,13.137596130371094,86.13500090487513,100,-0.088013455,-26.69530307874411
-0.0049808077,871.6701662540436,43.96148217966097,15.763708114624023,50,0.24899840354919434,-156.2606582280181,2.4014811515808105,-25.240357808632055,510000,0.024000883102416992,16.036707401275635,13.110549211502075,63.42453990658949,100,-0.18170276,-35.929968437517644
0.034153737,887.6101615428925,44.647746557410045,15.604995012283325,51,0.2819967269897461,-135.8020588670417,2.558671712875366,-30.444213665442284,520000,0.03800249099731445,15.92599368095398,12.797318935394287,52.64839085782134,100,-0.11107339,-43.591631011111055
-0.016983984,903.9871592521667,42.77572006782213,16.08099937438965,52,0.25997161865234375,-195.29939717412705,2.593928813934326,-46.06491979668983,530000,0.022027015686035156,16.362998008728027,13.238060712814331,65.33787324011382,100,-0.4510045,-72.67651867889079
-0.0021260376,921.1024355888367,50.3129747945968,16.844279527664185,53,0.23596763610839844,-132.4645352103439,2.6007258892059326,-29.677866941537854,540000,0.02003169059753418,17.102278470993042,13.988475561141968,95.27949392450272,100,-0.79205394,-42.93757142763277
