train-PolicyExecTime,train-MaxReturn,Time-Optimization,Time-Sampling,train-NumTrajs,ItrTime,Time,train-EnvExecTime,Time-SampleProc,train-MinReturn,LossAfter,train-StdReturn,Itr,n_timesteps,train-AverageReturn,LossBefore,train-AverageDiscountedReturn
13.506462574005127,24.38515206177391,0.25099897384643555,16.216128826141357,100,16.476128339767456,369.13768339157104,2.4515697956085205,0.007999658584594727,-168.49446959139988,-0.5324374,42.11261820447138,21,220000,-78.02950420127863,-0.020078382,-48.63593241276422
13.446923971176147,10.529248371425131,0.2169628143310547,16.177777767181396,100,16.40368127822876,385.55442905426025,2.4764695167541504,0.00800466537475586,-147.89781719962767,-0.29014257,29.676174298104424,22,230000,-60.44754811541572,-0.012259985,-36.85970029888825
13.79169487953186,3.4897711137235934,0.22251486778259277,16.486902475357056,100,16.718416929244995,402.28584480285645,2.4394984245300293,0.00799870491027832,-124.63013728967539,-0.32607505,27.753682239954117,23,240000,-56.33952068683405,0.00077796023,-34.959368959570554
13.947640657424927,38.22769009874117,0.21996331214904785,16.698639392852783,100,16.92660665512085,419.22545170783997,2.510009765625,0.008003950119018555,-142.3044411742337,-0.20128125,31.09632206859442,24,250000,-57.51790614627376,-0.04186294,-35.17156757663746
13.948030471801758,1.7880714374188627,0.2479720115661621,16.82284379005432,100,17.079841375350952,436.31729102134705,2.628668785095215,0.008025407791137695,-135.13548134737803,-0.11575989,30.80164957835683,25,260000,-63.88041558245527,-0.012032715,-38.91582372015894
13.335846662521362,25.869621845983165,0.21701502799987793,16.114030838012695,100,16.339046239852905,452.66933727264404,2.524719715118408,0.007000446319580078,-119.52453769291468,-0.06354184,27.774308518764816,26,270000,-56.23161024536324,-0.0013383789,-35.32658494970972
13.525226593017578,-1.8746754860497354,0.21796822547912598,16.351826190948486,100,16.578786373138428,469.26012229919434,2.512166738510132,0.007991552352905273,-118.48963468964679,-0.10483694,24.873273270604873,27,280000,-51.68975744961144,-0.03301245,-33.17199329417701
13.426830530166626,11.044986423214283,0.21796703338623047,16.173285961151123,100,16.39828395843506,485.6714069843292,2.4916670322418213,0.007030963897705078,-114.46548940769063,-0.5248651,27.7950837758331,28,290000,-53.7680111706442,0.02736062,-34.1864953845601
13.226568698883057,40.92806226853025,0.21596717834472656,15.92037844657898,100,16.144344091415405,501.82875084877014,2.4410793781280518,0.007998466491699219,-102.49773825725985,-2.919352,30.111719460341856,29,300000,-40.62667000210428,0.011077817,-26.006267298301644
13.32528567314148,51.7201419718827,0.22799897193908691,15.956753730773926,100,16.19275188446045,518.0345027446747,2.3722519874572754,0.007999181747436523,-122.92088872520488,-2.735125,35.59866313399479,30,310000,-52.41894585425546,0.011614429,-33.4370742514153
