n_timesteps,train-EnvExecTime,train-NumTrajs,Time-SampleProc,train-PolicyExecTime,Itr,Time-Sampling,Time,train-StdReturn,LossBefore,train-MaxReturn,train-MinReturn,ItrTime,train-AverageDiscountedReturn,LossAfter,Time-Optimization,train-AverageReturn
550000,2.4599297046661377,100,0.03000330924987793,13.487515449523926,54,16.208992958068848,910.5336503982544,22.65464429225778,-7.712188e-06,76.13594548053644,-34.34481107666962,16.48299217224121,17.687799574001097,-0.012557959,0.24199628829956055,28.49604689014948
560000,2.5356321334838867,100,0.02897357940673828,13.653046607971191,55,16.436992406845093,927.2606415748596,25.834956909757256,-7.498665e-06,82.98393444602758,-46.85938760755699,16.713991403579712,13.937203131763436,-0.010998461,0.24599957466125488,22.191734095804673
570000,2.605635404586792,100,0.027999401092529297,13.721778869628906,56,16.581993103027344,944.1296339035034,23.489682927892876,-7.274881e-06,70.85926158934507,-43.247021523373334,16.854992151260376,14.544141477541512,-0.009914881,0.24399971961975098,24.501834515408564
580000,2.4732108116149902,100,0.028966903686523438,13.533264875411987,57,16.24302649497986,960.6576251983643,26.50875697924579,-7.0986393e-06,94.49767703480661,-40.490517134748686,16.513992071151733,13.729744929763141,-0.008839284,0.24199867248535156,23.217663140328263
590000,2.4986910820007324,100,0.026967763900756836,13.634328603744507,58,16.383021593093872,977.328617811203,28.004549780324282,-6.953828e-06,81.46749302120779,-32.373472691042245,16.653992414474487,17.596497251169552,-0.011798562,0.24300098419189453,27.87711719588802
600000,2.545332670211792,100,0.023006200790405273,13.66851544380188,59,16.474018812179565,994.0946083068848,28.74780583279605,-6.771014e-06,95.3317669376174,-50.75570879348608,16.751991987228394,17.87483616013774,-0.011545412,0.25496697425842285,29.59556620777716
610000,2.4856040477752686,100,0.025000810623168945,13.497997522354126,60,16.254993200302124,1010.6426010131836,27.391385939500942,-6.540208e-06,84.45425262599176,-54.278800569022636,16.534992694854736,17.353894438286346,-0.011793122,0.2539985179901123,29.570863541243206
620000,2.5956451892852783,100,0.024030685424804688,13.540720224380493,61,16.374992609024048,1027.3085930347443,29.55373574831193,-6.300359e-06,86.47527835403665,-83.6313530380649,16.65299344062805,19.55895439658757,-0.013843466,0.251997709274292,33.34296003431758
630000,2.5389046669006348,100,0.020963430404663086,13.630028486251831,62,16.43902826309204,1044.0375833511353,29.20304506096495,-6.057226e-06,104.58068419618878,-56.924745243564175,16.715991497039795,20.702969381601612,-0.013494535,0.2559998035430908,34.865270682719604
640000,2.496516704559326,100,0.03099966049194336,13.585535049438477,63,16.33099341392517,1060.6525750160217,24.119882365444315,-5.9662575e-06,98.0213196283987,-19.233709668446274,16.60199236869812,21.43631760697711,-0.015078427,0.23999929428100586,36.45726554660992
650000,2.4893341064453125,100,0.020972013473510742,13.690037488937378,64,16.429019927978516,1077.3635666370392,27.786461231010804,-5.868144e-06,96.05137457316656,-45.216937555077926,16.696991205215454,22.149526173269763,-0.013998637,0.24599933624267578,36.281031200618294
660000,2.534090042114258,100,0.02997422218322754,13.703685760498047,65,16.500016927719116,1094.1595590114594,26.4864271811543,-5.7389507e-06,97.59471552622377,-31.884639598193644,16.782991647720337,24.164507989967024,-0.0138035,0.2520012855529785,39.51769061055702
