train-AverageDiscountedReturn,train-EnvExecTime,LossBefore,Time-Optimization,Time-SampleProc,Time-Sampling,Time,train-StdReturn,Itr,n_timesteps,train-MinReturn,train-MaxReturn,ItrTime,train-PolicyExecTime,LossAfter,train-AverageReturn,train-NumTrajs
-15.008096692899011,2.5857183933258057,-1.4155447e-05,0.25099992752075195,0.02496790885925293,16.547987461090088,237.5240032672882,24.164575755847498,13,140000,-121.72293134721805,16.556442787293957,16.823955297470093,13.704135656356812,-0.0147341825,-24.968070295287294,100
-14.940341254893935,2.638303279876709,-1.4146455e-05,0.24699974060058594,0.020973920822143555,16.632981061935425,254.43895721435547,25.11914670048419,14,150000,-108.85807606352112,48.448822441294205,16.901954889297485,13.735719203948975,-0.013703323,-23.267305667036684,100
-13.268115304731314,2.6739494800567627,-1.4175102e-05,0.24899983406066895,0.021961450576782227,16.77999186515808,271.50391125679016,26.918301155451864,15,160000,-92.36404728465492,44.28503481269278,17.050953149795532,13.86603045463562,-0.01418215,-20.596610767896642,100
-12.748755779694823,2.5870659351348877,-1.4156668e-05,0.24599933624267578,0.02296733856201172,16.610987663269043,288.3988654613495,23.485837945138666,16,170000,-78.96623344018026,53.13931554014969,16.88095450401306,13.707348585128784,-0.014720993,-19.961153567969106,100
-13.50138025801599,2.6188459396362305,-1.4082231e-05,0.24999713897705078,0.020968198776245117,16.81698989868164,305.50082063674927,26.17433975842026,17,180000,-103.67584181287447,60.207841033776766,17.087955236434937,13.944940090179443,-0.014638098,-21.380708967909214,100
-12.76456463153946,2.6395833492279053,-1.3935721e-05,0.24699926376342773,0.020968198776245117,16.496989250183105,322.27877736091614,28.805839558247673,18,190000,-102.83776902033631,53.88017669239009,16.76495671272278,13.628642797470093,-0.015139887,-20.077706148825293,100
-14.316817903580825,2.6281778812408447,-1.382673e-05,0.24900031089782715,0.02199554443359375,16.713958978652954,339.27873277664185,27.93798099305784,19,200000,-98.37830812174863,42.978085057070075,16.985954999923706,13.834867477416992,-0.015439281,-22.231219843819826,100
-11.677349771052427,2.6024086475372314,-1.3707223e-05,0.2479996681213379,0.021966934204101562,16.829988479614258,356.3936882019043,25.686958353246713,20,210000,-108.01677746549088,31.198981217495383,17.100955724716187,13.968229055404663,-0.015269862,-19.38126060865736,100
-11.662665407952518,2.620436429977417,-1.3609029e-05,0.25699615478515625,0.028969764709472656,16.713990211486816,373.40664410591125,26.866802003386702,21,220000,-105.35065611152446,45.08530325111119,16.999956130981445,13.844940185546875,-0.01540947,-19.487917232457004,100
-11.344805414170251,2.6109185218811035,-1.3508336e-05,0.24999547004699707,0.023967742919921875,16.54098868370056,390.23660016059875,25.02788695386345,22,230000,-107.90592509019812,34.03174053036531,16.816957235336304,13.667749643325806,-0.013822121,-18.655099499546495,100
-10.249512435758355,2.618704319000244,-1.3379611e-05,0.2479991912841797,0.024986982345581055,16.640989065170288,407.1645562648773,23.6865610984629,23,240000,-89.62188146325236,48.78900551137352,16.91495633125305,13.762685298919678,-0.016376482,-15.377237230556592,100
-14.391010855227762,2.560023546218872,-1.3268289e-05,0.24799704551696777,0.025968313217163086,16.64898943901062,424.10051250457764,26.530370032468547,24,250000,-83.05666497975747,34.3876761966233,16.92295479774475,13.81507420539856,-0.01437695,-23.531669815875244,100
-14.275300071499755,2.62748646736145,-1.3140993e-05,0.25299859046936035,0.019999980926513672,16.675957679748535,441.062468290329,31.123125483788094,25,260000,-126.2973213198811,31.32407800423474,16.94895625114441,13.789844512939453,-0.014741901,-20.999016303344504,100
-9.774961797328904,2.5459132194519043,-1.3078248e-05,0.24599981307983398,0.023000478744506836,16.70795702934265,458.05442476272583,27.749688331519028,26,270000,-115.26462584895674,58.59753901623307,16.9789559841156,13.900882482528687,-0.016538879,-16.51816069377379,100
-11.91132425083835,2.617495536804199,-1.2994111e-05,0.24699664115905762,0.029001474380493164,16.757957935333252,475.10137963294983,22.30397226259135,27,280000,-95.47638388076392,36.60954924579649,17.033956050872803,13.8250150680542,-0.016443787,-19.44847196116787,100
-11.367836112290076,2.574852705001831,-1.28978445e-05,0.25099921226501465,0.028998613357543945,16.60295867919922,492.00033593177795,20.84002231471989,28,290000,-91.85369685479368,67.20951433650983,16.88395667076111,13.754676342010498,-0.01522732,-17.885114403908243,100
-11.503264249524715,2.603522777557373,-1.2828048e-05,0.24499964714050293,0.020971059799194336,16.66998529434204,508.95029163360596,22.156648033253813,29,300000,-89.21330599888537,29.278022538448194,16.93595600128174,13.80432415008545,-0.016669478,-19.82606654822884,100
-8.737418756713106,2.6103813648223877,-1.2725145e-05,0.24799799919128418,0.02900099754333496,16.708956718444824,525.9502475261688,26.218464524940646,30,310000,-95.17482869423172,59.51036611887416,16.985955715179443,13.826528310775757,-0.016425272,-14.636930157746171,100
-9.274452688477457,2.6521663665771484,-1.25373235e-05,0.25499725341796875,0.023998022079467773,16.546960592269897,542.7912044525146,24.43277226370012,31,320000,-89.27797018893534,33.67730407033205,16.82695722579956,13.637863397598267,-0.017147591,-14.57699340446751,100
-10.377933824897413,2.591646432876587,-1.2377322e-05,0.257997989654541,0.024001359939575195,16.796956539154053,559.8841600418091,23.121171293961336,32,330000,-84.73801723194421,52.014173015078015,17.079954385757446,13.95926833152771,-0.016151601,-16.180079007465974,100
-6.717828659089751,2.600425958633423,-1.2262925e-05,0.25300049781799316,0.019961118698120117,16.603994607925415,576.7761158943176,22.54825418895324,33,340000,-70.23454339366796,43.784228233830035,16.87795639038086,13.72235894203186,-0.014258721,-11.18888180757186,100
-8.129885054857303,2.626230478286743,-1.21362855e-05,0.24699878692626953,0.022998571395874023,16.8399555683136,593.9030706882477,27.64408689988778,34,350000,-114.91309423839296,47.03371678557715,17.11295485496521,13.956670045852661,-0.01592947,-12.700418923662838,100
-7.808909568755286,2.5902981758117676,-1.1995697e-05,0.2589998245239258,0.02896714210510254,16.684990167617798,610.8900282382965,24.067020699870437,35,360000,-81.40432431673423,39.30683009794128,16.972957134246826,13.832848310470581,-0.017425073,-12.950844820806969,100
-6.0064880627146735,2.613236665725708,-1.1795087e-05,0.25300121307373047,0.02696704864501953,16.663989067077637,627.8559868335724,24.12478934939691,36,370000,-78.96980172962836,39.25808946809252,16.944958209991455,13.789477109909058,-0.014416738,-9.579012487067365,100
-7.098461767976,2.62603497505188,-1.158421e-05,0.2590000629425049,0.020967721939086914,16.653989791870117,644.8039436340332,22.70039496049236,37,380000,-78.39128681912648,40.20920237292532,16.93395757675171,13.773743391036987,-0.015399936,-11.928770902508068,100
-5.6799038659052155,2.6117653846740723,-1.1464224e-05,0.2539973258972168,0.04200172424316406,16.642958402633667,661.7569010257721,22.889852898479774,38,390000,-93.96642008411553,38.55071603104937,16.938957452774048,13.720225095748901,-0.016396146,-9.17007563396617,100
-6.755181117426994,2.6217305660247803,-1.1360721e-05,0.25299715995788574,0.050995588302612305,16.68796467781067,678.7628586292267,27.702604419023682,39,400000,-92.39711778287592,52.69773836488548,16.992957592010498,13.798500061035156,-0.01369924,-10.571436116155397,100
-3.974323978969092,2.640631675720215,-1.1282877e-05,0.32499170303344727,0.057007551193237305,16.546961069107056,695.7058162689209,18.50597150638834,40,410000,-50.63470816009777,52.54431712617671,16.9299578666687,13.661369800567627,-0.016830383,-7.082646548234677,100
-5.541104583086484,2.646704912185669,-1.1213271e-05,0.2579991817474365,0.03300023078918457,17.009957313537598,713.0197732448578,24.641835435773856,41,420000,-99.34856228997292,38.98262763816562,17.30095672607422,14.091990947723389,-0.015786488,-9.03816567096742,100
-3.88010371742195,2.6145577430725098,-1.1109311e-05,0.25100016593933105,0.02196812629699707,16.48798966407776,729.7947309017181,20.352653656051007,42,430000,-64.87001215094205,43.23188071277997,16.761958837509155,13.615988731384277,-0.016603015,-6.623010537833702,100
-4.146029452989346,2.6092419624328613,-1.1047809e-05,0.2500002384185791,0.025997400283813477,16.70695996284485,746.7916884422302,22.745041509462467,43,440000,-91.32278211653457,40.86805085480745,16.98295760154724,13.842447757720947,-0.015057143,-7.8232688798818515,100
-0.4764951762634459,2.597693920135498,-1.1064304e-05,0.25300025939941406,0.028998851776123047,16.671959161758423,763.759646654129,18.964525724807572,44,450000,-75.24803246417963,42.05409865703855,16.954957962036133,13.807810544967651,-0.017418811,-1.7145958128123715,100
-3.6494557036281186,2.5681495666503906,-1.105906e-05,0.25299787521362305,0.01999354362487793,16.491951942443848,780.5786039829254,23.420027946504394,45,460000,-87.4552549970794,48.136244977387854,16.767933130264282,13.66334056854248,-0.015706744,-5.803446843886359,100
-1.0736863236572518,2.590745449066162,-1.09710345e-05,0.2440018653869629,0.020966529846191406,16.571991443634033,797.4285633563995,18.345842495166778,46,470000,-53.778192819707975,40.87085000152524,16.836959838867188,13.718831300735474,-0.016171895,-2.3096147766321478,100
-2.8977722936711303,2.6002118587493896,-1.0786988e-05,0.2480001449584961,0.026953697204589844,16.52095627784729,814.2415199279785,23.816656724454884,47,480000,-103.85386711399062,48.415699202649776,16.797956228256226,13.652369260787964,-0.015862742,-4.935508056203056,100
