train-NumTrajs,LossAfter,train-AverageReturn,Time-SampleProc,Time,Time-Sampling,Itr,ItrTime,train-StdReturn,train-PolicyExecTime,n_timesteps,LossBefore,train-AverageDiscountedReturn,train-MaxReturn,train-MinReturn,Time-Optimization,train-EnvExecTime
100,-0.0012623935,285.073184167087,0.048998117446899414,2636.168395280838,17.848737478256226,148,18.205735683441162,7.2599725308515906,14.455549955368042,1490000,-4.768372e-10,151.03166078613086,292.3626235536046,250.23904874116093,0.30700039863586426,3.0634639263153076
100,-0.00079628295,285.4904987671889,0.023000478744506836,2654.3221962451935,17.830804109573364,149,18.14080238342285,6.443845807874551,14.521617889404297,1500000,1.8310548e-08,151.1889403149363,294.7559478473478,251.7104701759605,0.2859992980957031,3.048084259033203
100,-0.0016112953,286.65313186469047,0.022971630096435547,2672.1851844787598,17.56650733947754,150,17.84998893737793,4.2276507205573814,14.254507064819336,1510000,3.8146974e-09,151.70185295675518,293.63584191897354,273.4769390368036,0.2595069408416748,3.0452446937561035
100,-0.001359253,287.61146563888826,0.025002479553222656,2689.704549074173,17.20636296272278,151,17.506362676620483,4.574319602328698,13.974783897399902,1520000,-1.5830993e-08,152.41997980915727,294.4925848724915,269.49051563271337,0.27399730682373047,2.9757156372070312
100,0.001831047,287.7841582019819,0.02499985694885254,2707.448849439621,17.41778874397278,152,17.731300592422485,6.1666450558824435,14.100748062133789,1530000,-1.8310548e-08,152.34741003586197,294.5834182054532,237.71201923275135,0.2885119915008545,3.0296757221221924
100,-0.0026104683,286.4052595018911,0.020971298217773438,2725.772730588913,18.025882482528687,153,18.30888032913208,6.4823324629984835,14.624329805374146,1540000,-9.918213e-09,151.6397542469399,294.372136459988,257.98022907401196,0.2620265483856201,3.1304619312286377
100,-0.004108305,287.23538409762045,0.025969982147216797,2743.8257596492767,17.74848747253418,154,18.039456367492676,6.061703462674285,14.301609516143799,1550000,4.196167e-09,152.10900647421366,295.5771678160635,263.9002474881871,0.2649989128112793,3.1714186668395996
100,-0.003634314,286.9518536783479,0.01899886131286621,2761.7629618644714,17.647176504135132,155,17.923202991485596,7.899490300933769,14.360886573791504,1560000,-6.1035155e-09,152.1771329805738,293.7095301419215,247.94470496263867,0.2560279369354248,3.0234179496765137
100,-0.0023511644,287.92450176855806,0.022967815399169922,2779.708947658539,17.642948865890503,156,17.932915449142456,4.723366321022474,14.305875062942505,1570000,-7.629395e-09,152.44936642365667,294.2620389265683,271.25814275476864,0.2669987678527832,3.057389736175537
100,0.0014442535,287.5104356777578,0.02597332000732422,2798.2646296024323,18.226173400878906,157,18.542681455612183,4.1340206455287385,14.826920747756958,1580000,-9.155274e-09,152.2162855649207,293.1427824396045,273.9602555772405,0.2895352840423584,3.1256256103515625
100,0.00052306365,286.76049060637536,0.019959688186645508,2816.3403022289276,17.777714490890503,158,18.06167244911194,5.049018010140211,14.4054696559906,1590000,4.577637e-09,152.26904979822294,294.92867006896927,263.80740099365863,0.26200127601623535,3.09574294090271
100,-0.0033338089,288.0912432837351,0.026478052139282227,2834.9467358589172,18.278956651687622,159,18.593435287475586,4.600135313918817,14.801910877227783,1600000,1.9454957e-08,152.55165389194607,295.1334152541429,270.4467943033079,0.28800058364868164,3.142040729522705
100,0.0007128387,287.4312756595146,0.018000364303588867,2853.145471572876,17.902737617492676,160,18.182734966278076,5.10651767441366,14.562870502471924,1610000,-3.0517577e-09,152.41744535294765,294.0142690841337,274.0001048776496,0.2609982490539551,3.0510873794555664
100,0.0018853188,288.58287288566635,0.018970251083374023,2870.8398983478546,17.38594913482666,161,17.68242621421814,3.8753670328109506,14.158336877822876,1620000,1.373291e-08,152.6771070476702,294.4155740851737,275.4965298425321,0.2765069007873535,2.9581973552703857
100,-0.0009934753,287.95829371770407,0.023967981338500977,2889.240422487259,18.106559991836548,162,18.387524366378784,4.756824547189119,14.648464918136597,1630000,-6.1035155e-09,152.61524416591033,294.93891544777557,272.07319415390316,0.2559990882873535,3.1877713203430176
100,-0.003198764,285.88903834383694,0.027010679244995117,2907.271851539612,17.719310522079468,163,18.018428087234497,10.721366802533721,14.351300239562988,1640000,-6.1035155e-09,151.6975664254863,296.15264909678217,232.33255330273124,0.2721068859100342,3.0860280990600586
100,-0.001949408,287.1379777254994,0.021999597549438477,2925.280921936035,17.699028730392456,164,17.995068311691284,8.114886540972968,14.364296674728394,1650000,5.340576e-09,152.33752831201235,296.5711858261394,255.02845193397638,0.27403998374938965,3.0630996227264404
100,-0.0025016023,286.1529306266902,0.025999784469604492,2943.221228122711,17.594797372817993,165,17.927306175231934,11.321121038431903,14.243428468704224,1660000,-6.1035155e-09,151.73389323918593,293.51968780338376,189.24117450568752,0.30650901794433594,3.0817952156066895
100,0.0021995606,288.1571226619563,0.01799917221069336,2960.8417098522186,17.328500032424927,166,17.606481790542603,5.682351819577675,14.014936923980713,1670000,4.577637e-09,152.46517953588878,295.4373512589507,252.61473697969873,0.2579991817474365,3.049489974975586
100,-0.0018286152,288.40200868353406,0.026009321212768555,2978.2612392902374,17.122007131576538,167,17.406529188156128,5.505137478601782,13.839582681655884,1680000,-1.4877319e-08,152.8192906430574,295.91423103690425,256.74098750873145,0.2585127353668213,3.0081002712249756
100,0.016667508,288.7767539250688,0.020967960357666016,2995.7512485980988,17.197978258132935,168,17.47700786590576,4.549852624989659,13.880767583847046,1690000,0.01566496,153.13584633663885,296.63579193907924,273.92422023264487,0.2559967041015625,3.048395872116089
