train-AverageDiscountedReturn,Time,train-AverageReturn,Itr,train-MinReturn,Time-Sampling,n_timesteps,Time-SampleProc,LossBefore,ItrTime,LossAfter,Time-Optimization,train-StdReturn,train-MaxReturn,train-EnvExecTime,train-NumTrajs,train-PolicyExecTime
135.90336617834126,1538.5349788665771,239.54125656722275,83,206.93888824225914,17.58945918083191,840000,0.01896810531616211,-3.0517577e-09,17.859426736831665,-0.004461676,0.2500004768371582,11.06441212773623,262.4353452013625,2.989590883255005,100,14.33768343925476
136.1509239346767,1556.3453929424286,240.6432193722369,84,189.82081604975198,17.515382766723633,850000,0.024999141693115234,-5.340576e-09,17.796414136886597,0.0007294975,0.25603222846984863,11.907790704630624,265.817573127208,2.991340160369873,100,14.259091854095459
136.519137284284,1574.1791570186615,241.5172322435762,85,153.66492909294507,17.536766052246094,860000,0.024998903274536133,-7.629395e-09,17.805763721466064,-0.00018833771,0.24300074577331543,14.524676307688557,259.95218541767963,2.98638653755188,100,14.285290479660034
136.2341413174411,1592.2858414649963,240.88592972449445,86,212.71251255376515,17.831688165664673,870000,0.017996788024902344,-6.1035155e-09,18.093685388565063,0.020433508,0.24400043487548828,11.155803499645012,260.2457730433712,2.9875640869140625,100,14.597764253616333
136.77226094956862,1610.1716952323914,240.98507145700555,87,215.2321087044505,17.579857110977173,880000,0.025000572204589844,1.525879e-08,17.872853994369507,0.0005855263,0.2669968605041504,10.17025457638184,259.8850615242882,2.956822395324707,100,14.376450538635254
136.38839399841328,1628.2479486465454,240.87909630499456,88,212.12765582783894,17.787253618240356,890000,0.021998167037963867,-1.5258789e-09,18.063254594802856,0.021839382,0.25099849700927734,10.549450651713904,262.17692945630534,3.028557062149048,100,14.50314974784851
132.45520104321096,1646.0505216121674,233.7118890950399,89,189.78880858990746,17.522515296936035,900000,0.025997638702392578,1.8310548e-08,17.78957176208496,0.014052551,0.2410588264465332,18.436577711946242,262.1308881200775,3.0448789596557617,100,14.236569881439209
132.89527378315327,1664.052015542984,233.8744685484662,90,171.75452371469413,17.710553884506226,910000,0.026000022888183594,0.039388057,17.988553762435913,0.031499144,0.25099682807922363,19.42389375279293,260.81044880423536,2.9866690635681152,100,14.462876081466675
136.598398153024,1682.0726907253265,241.08760041130972,91,209.5592507246899,17.74767565727234,920000,0.017998218536376953,-7.6293943e-10,18.007676124572754,0.0067858435,0.24200224876403809,10.911817636255535,268.93800897589284,3.036562919616699,100,14.46871829032898
137.4030665719781,1700.045706987381,242.94249286264835,92,207.88268994502297,17.6905255317688,930000,0.02549147605895996,1.2207031e-08,17.960017204284668,0.0031218017,0.24400019645690918,11.451509182153906,261.34491109154396,3.0054612159729004,100,14.426151514053345
137.43857843819822,1718.050045490265,242.82845051916195,93,213.5285269373151,17.727829694747925,940000,0.02309584617614746,-1.8310548e-08,17.991339683532715,-0.00197959,0.23941421508789062,10.08409532454624,264.911078980138,3.0020270347595215,100,14.409257173538208
138.82069175189187,1736.0070943832397,245.7758982861191,94,200.91222050513892,17.67802929878235,950000,0.017999887466430664,-1.5258789e-09,17.944049835205078,0.0015297104,0.24602055549621582,10.61219423139948,261.8046877554632,2.952359437942505,100,14.494897603988647
138.18334573600703,1753.822322845459,244.28642612776576,95,214.57669548082788,17.516231060028076,960000,0.02599620819091797,1.2207031e-08,17.802226305007935,-0.002848761,0.2589998245239258,10.252742508753625,262.83297734677836,3.036262273788452,100,14.210047960281372
